gene_id,AH1,AH2,AH3,AH4,AH5,AH6,AH7,AH8,AH9
Montipora_capitata_HIv3___RNAseq.g42319.t1,0,0,0,0,0,0,0,2,4
Montipora_capitata_HIv3___TS.g49315.t1b,0,0,0,0,0,0,0,13,10
Montipora_capitata_HIv3___TS.g49315.t1a,0,6,26,0,9,0,0,19,40
Montipora_capitata_HIv3___TS.g11988.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g29525.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g45785.t1,0,0,0,0,0,0,0,0,1
Montipora_capitata_HIv3___TS.g35745.t1,6,0,3,4,0,0,3,27,39
Montipora_capitata_HIv3___RNAseq.g8204.t1,327,498,488,688,703,699,18,49,42
Montipora_capitata_HIv3___RNAseq.g9577.t1,120,183,215,142,99,113,10,21,37
Montipora_capitata_HIv3___RNAseq.g23056.t1,415,519,514,397,443,571,229,287,401
Montipora_capitata_HIv3___RNAseq.g30111.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g13553.t1,0,0,0,1,0,1,0,10,4
Montipora_capitata_HIv3___RNAseq.g37262.t1,138,129,163,166,154,170,21,36,101
Montipora_capitata_HIv3___RNAseq.g5416.t1,44,44,49,55,46,41,10,9,21
Montipora_capitata_HIv3___RNAseq.g48275.t1,1130,1351,1325,1252,1188,1280,1242,1302,1394
Montipora_capitata_HIv3___RNAseq.24234_t,965,1267,1417,992,953,802,440,724,782
Montipora_capitata_HIv3___TS.g14944.t1,0,0,0,0,0,0,0,0,10
Montipora_capitata_HIv3___RNAseq.g42581.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g36441.t1,63,74,75,108,106,173,196,385,484
Montipora_capitata_HIv3___RNAseq.g7234.t1,627,693,710,861,816,841,672,771,902
Montipora_capitata_HIv3___TS.g40263.t1,6,0,5,3,1,6,0,0,0
Montipora_capitata_HIv3___RNAseq.g26541.t1,274,371,371,364,273,320,66,43,79
Montipora_capitata_HIv3___RNAseq.g2841.t1,17,12,12,14,8,27,15,28,32
Montipora_capitata_HIv3___RNAseq.g11226.t1,0,0,0,7,0,0,5,8,8
Montipora_capitata_HIv3___RNAseq.g19176.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g31691.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g2284.t1,1,2,1,1,2,0,2,1,2
Montipora_capitata_HIv3___RNAseq.g17208.t1,5,9,5,6,8,4,2,0,2
Montipora_capitata_HIv3___TS.g23982.t1,5,2,6,11,4,12,23,83,30
Montipora_capitata_HIv3___TS.g26496.t1,0,6,4,0,0,4,13,23,21
Montipora_capitata_HIv3___TS.g43294.t1,0,0,0,0,0,0,0,1,0
Montipora_capitata_HIv3___RNAseq.g23054.t1,204,373,315,299,250,323,315,397,498
Montipora_capitata_HIv3___RNAseq.g8206.t1,6,19,13,26,5,28,4,30,35
Montipora_capitata_HIv3___RNAseq.g687.t1,23,42,26,26,32,55,39,35,58
Montipora_capitata_HIv3___RNAseq.g36841.t1,327,472,498,532,443,510,258,276,295
Montipora_capitata_HIv3___RNAseq.g38554.t1,0,3,4,1,0,0,0,0,9
Montipora_capitata_HIv3___TS.g39513.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g1274.t1,0,4,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g41915.t1,0,5,4,5,3,2,30,21,56
Montipora_capitata_HIv3___RNAseq.g47915.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g6233.t1,4,0,1,2,1,2,1,1,3
Montipora_capitata_HIv3___RNAseq.g18748.t1,0,0,3,0,0,9,0,0,4
Montipora_capitata_HIv3___RNAseq.g16718.t1,16,34,20,14,24,13,1,6,4
Montipora_capitata_HIv3___RNAseq.g41943.t1,34,25,25,34,22,32,20,38,56
Montipora_capitata_HIv3___TS.g39258.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g48174.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g25449.t1,3,6,11,30,26,28,14,21,20
Montipora_capitata_HIv3___RNAseq.g15942.t1,2032,2422,2323,2316,2248,2211,635,797,1501
Montipora_capitata_HIv3___RNAseq.g16552.t1,0,0,0,0,0,0,0,0,10
