gene_id,SRR3051863,SRR3051864,SRR3051865,SRR3051866,SRR3051867,SRR3051868,SRR3051869,SRR3051870,SRR3051871
Pocillopora_acuta_HIv2___RNAseq.g23616.t1,5,9,19,0,0,4,12,11,20
Pocillopora_acuta_HIv2___RNAseq.g4197.t1,0,22,9,15,0,17,3,5,0
Pocillopora_acuta_HIv2___RNAseq.g12137.t1,37,75,86,5,7,20,30,29,35
Pocillopora_acuta_HIv2___RNAseq.g4145.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g4784.t1,6,9,16,15,10,0,0,15,17
Pocillopora_acuta_HIv2___TS.g3788.t1,15,28,32,3,4,1,2,0,1
Pocillopora_acuta_HIv2___TS.g30079.t1a,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g8199.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g11981.t1,0,1,1,0,0,0,0,0,1
Pocillopora_acuta_HIv2___RNAseq.g23764.t1,14,21,10,23,17,12,11,9,5
Pocillopora_acuta_HIv2___RNAseq.g27841.t1,704,814,967,594,549,516,829,594,729
Pocillopora_acuta_HIv2___RNAseq.g14011.t1,287,499,574,182,185,217,353,390,357
Pocillopora_acuta_HIv2___RNAseq.g7479.t3a,124,221,227,271,210,337,334,358,314
Pocillopora_acuta_HIv2___RNAseq.g7479.t3b,790,1963,1075,259,237,827,2545,1927,2576
Pocillopora_acuta_HIv2___RNAseq.g3340.t1,120,167,194,315,396,298,236,202,244
Pocillopora_acuta_HIv2___RNAseq.g682.t1,0,9,22,0,0,0,98,91,140
Pocillopora_acuta_HIv2___RNAseq.g18203.t1,0,0,0,49,59,90,88,69,65
Pocillopora_acuta_HIv2___RNAseq.g25357.t1,13,16,17,10,7,7,5,15,14
Pocillopora_acuta_HIv2___RNAseq.g20966.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g4455.t1,7,0,0,0,0,8,0,0,0
Pocillopora_acuta_HIv2___TS.g13281.t1,0,25,22,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g4805.t1,0,7,8,11,11,6,12,4,12
Pocillopora_acuta_HIv2___RNAseq.g4147.t1,0,4,0,0,2,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g28377.t1,2624,3388,4513,2072,2422,2586,2628,2468,2370
Pocillopora_acuta_HIv2___RNAseq.g28983.t1,555,623,630,254,333,194,225,173,199
Pocillopora_acuta_HIv2___RNAseq.g11539.t1,162,200,274,44,62,48,131,155,151
