"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0016447",0.00128079043639571,0.999938165170873,3,42,"somatic recombination of immunoglobulin gene segments","BP"
"GO:0002523",0.00163902304316423,0.999972637273782,2,12,"leukocyte migration involved in inflammatory response","BP"
"GO:0016445",0.00200066491950563,0.999886303455167,3,49,"somatic diversification of immunoglobulins","BP"
"GO:0002562",0.00212335527602058,0.999876678394543,3,50,"somatic diversification of immune receptors via germline recombination within a single locus","BP"
"GO:0002200",0.00308586044809115,0.999794493305098,3,57,"somatic diversification of immune receptors","BP"
"GO:0002377",0.00324352434232898,0.999780012989197,3,58,"immunoglobulin production","BP"
"GO:0032024",0.003386603654588,0.999766629184997,3,59,"positive regulation of insulin secretion","BP"
"GO:0016444",0.00428278997187737,0.999678320806604,3,64,"somatic cell DNA recombination","BP"
"GO:0007157",0.00458454767390154,0.999862822987,2,20,"heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","BP"
"GO:0016233",0.00459149282210032,0.999862508303562,2,20,"telomere capping","BP"
"GO:0002440",0.0046676556528759,0.999638136194429,3,66,"production of molecular mediator of immune response","BP"
"GO:0034642",0.00507523140935842,1,1,1,"mitochondrion migration along actin filament","BP"
"GO:0051562",0.00507523140935842,1,1,1,"negative regulation of mitochondrial calcium ion concentration","BP"
"GO:1903562",0.00507523140935842,1,1,1,"microtubule bundle formation involved in mitotic spindle midzone assembly","BP"
"GO:2001031",0.00507523140935842,1,1,1,"positive regulation of cellular glucuronidation","BP"
"GO:0014708",0.00507530557083462,1,1,1,"regulation of somitomeric trunk muscle development","BP"
"GO:0014709",0.00507530557083462,1,1,1,"positive regulation of somitomeric trunk muscle development","BP"
"GO:0090133",0.00507530557083462,1,1,1,"mesendoderm migration","BP"
"GO:0090134",0.00507530557083462,1,1,1,"cell migration involved in mesendoderm migration","BP"
"GO:0010572",0.00514087085682424,1,1,1,"positive regulation of platelet activation","BP"
"GO:0090277",0.00615296425189992,0.999471790790673,3,73,"positive regulation of peptide hormone secretion","BP"
"GO:0016339",0.00658429065468528,0.999759357977391,2,24,"calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules","BP"
"GO:0032465",0.00741537379374888,0.999317896349147,3,78,"regulation of cytokinesis","BP"
"GO:2000649",0.00769835274472262,0.999693385081899,2,26,"regulation of sodium ion transmembrane transporter activity","BP"
"GO:0090502",0.00908820269775447,0.999098353289999,3,84,"RNA phosphodiester bond hydrolysis, endonucleolytic","BP"
"GO:0051781",0.00940591506055728,0.999054820069348,3,85,"positive regulation of cell division","BP"
"GO:0071398",0.0095503055367715,0.99957193357092,2,29,"cellular response to fatty acid","BP"
"GO:0035668",0.0101249004829963,0.999974437664272,1,2,"TRAM-dependent toll-like receptor signaling pathway","BP"
"GO:0035669",0.0101249004829963,0.999974437664272,1,2,"TRAM-dependent toll-like receptor 4 signaling pathway","BP"
"GO:0021703",0.0101249742709301,0.999974437290728,1,2,"locus ceruleus development","BP"
"GO:0021576",0.010155406341362,0.999974282997652,1,2,"hindbrain formation","BP"
"GO:0021588",0.010155406341362,0.999974282997652,1,2,"cerebellum formation","BP"
"GO:0002534",0.0101742709128672,0.999974187118445,1,2,"cytokine production involved in inflammatory response","BP"
"GO:0006858",0.0102166480920611,0.999973971082511,1,2,"extracellular transport","BP"
"GO:0033133",0.0102298983274861,0.999973903348013,1,2,"positive regulation of glucokinase activity","BP"
"GO:0030595",0.0108186077150265,0.999480769332732,2,31,"leukocyte chemotaxis","BP"
"GO:0090407",0.0114902267269905,0.996794115149571,7,479,"organophosphate biosynthetic process","BP"
"GO:1902305",0.0122363174951455,0.999371852751034,2,33,"regulation of sodium ion transmembrane transport","BP"
"GO:0006959",0.0126755978994627,0.998575726027359,3,95,"humoral immune response","BP"
"GO:0010675",0.0141786073301466,0.998338205888531,3,99,"regulation of cellular carbohydrate metabolic process","BP"
