"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0071106",0.00110532455809735,1,3,3,"adenosine 3',5'-bisphosphate transmembrane transport","BP"
"GO:0003180",0.00145240321989832,0.999934735783949,4,6,"aortic valve morphogenesis","BP"
"GO:0010990",0.00145388107225125,0.999934650490788,4,6,"regulation of SMAD protein complex assembly","BP"
"GO:0007628",0.00147637186589775,0.999688627923968,9,28,"adult walking behavior","BP"
"GO:0070316",0.00151138660194428,0.999720445976443,8,23,"regulation of G0 to G1 transition","BP"
"GO:0090659",0.00194856561652433,0.999567982199025,9,29,"walking behavior","BP"
"GO:0045429",0.00278668529277189,0.999417030734278,8,25,"positive regulation of nitric oxide biosynthetic process","BP"
"GO:1904407",0.00278668529277189,0.999417030734278,8,25,"positive regulation of nitric oxide metabolic process","BP"
"GO:0003344",0.00288936422663682,0.99947933369803,7,20,"pericardium morphogenesis","BP"
"GO:0060831",0.00309249596374232,0.999792770481339,4,7,"smoothened signaling pathway involved in dorsal/ventral neural tube patterning","BP"
"GO:0003176",0.00311207425222317,0.999791077071332,4,7,"aortic valve development","BP"
"GO:2000051",0.00318924073088241,0.999645192256567,5,11,"negative regulation of non-canonical Wnt signaling pathway","BP"
"GO:0044247",0.00366090440053346,0.999190697097601,8,26,"cellular polysaccharide catabolic process","BP"
"GO:0070317",0.00390752738586108,0.999244891315985,7,21,"negative regulation of G0 to G1 transition","BP"
"GO:0031589",0.00398360293560942,0.998359718177386,18,89,"cell-substrate adhesion","BP"
"GO:0051259",0.00400776060739116,0.997507056308722,54,363,"protein complex oligomerization","BP"
"GO:0006367",0.00404698931108545,0.998282999645554,19,96,"transcription initiation at RNA polymerase II promoter","BP"
"GO:0072182",0.00407187987153896,0.999886073654769,3,4,"regulation of nephron tubule epithelial cell differentiation","BP"
"GO:0009826",0.00409199595360867,0.998962018618851,9,32,"unidimensional cell growth","BP"
"GO:0008589",0.00452167165379037,0.997962544074251,21,111,"regulation of smoothened signaling pathway","BP"
"GO:0034405",0.00473670682727491,0.998896744326664,8,27,"response to fluid shear stress","BP"
"GO:0000272",0.00473725574960173,0.998896594334957,8,27,"polysaccharide catabolic process","BP"
"GO:0051147",0.00490832233648446,0.997555236692955,26,148,"regulation of muscle cell differentiation","BP"
"GO:0044275",0.00512328817114854,0.998645885560081,9,33,"cellular carbohydrate catabolic process","BP"
"GO:0005980",0.0052779297331975,0.998907533567619,7,22,"glycogen catabolic process","BP"
"GO:0045879",0.00585907065739696,0.998018581856217,12,52,"negative regulation of smoothened signaling pathway","BP"
"GO:0051604",0.00632720844478799,0.996604551753122,30,181,"protein maturation","BP"
"GO:0071695",0.00671412566391365,0.996515392860847,27,159,"anatomical structure maturation","BP"
"GO:0009251",0.00691953944501517,0.99847562362191,7,23,"glucan catabolic process","BP"
"GO:0031032",0.00704892448083874,0.996753862322755,20,108,"actomyosin structure organization","BP"
"GO:0045834",0.00764305101164171,0.99637325268086,21,116,"positive regulation of lipid metabolic process","BP"
"GO:1903727",0.00768905368590159,0.997619618009441,10,41,"positive regulation of phospholipid metabolic process","BP"
"GO:0030576",0.00937037590453997,0.999479350429869,3,5,"Cajal body organization","BP"
"GO:0014834",0.00940204776780646,0.999476920086958,3,5,"skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration","BP"
"GO:2000696",0.00940708641775359,0.999476533148206,3,5,"regulation of epithelial cell differentiation involved in kidney development","BP"
"GO:0048819",0.00941176133677727,0.999476174068863,3,5,"regulation of hair follicle maturation","BP"
"GO:0051884",0.00941176133677727,0.999476174068863,3,5,"regulation of timing of anagen","BP"
"GO:0046931",0.00941227426110191,0.998957081193866,4,9,"pore complex assembly","BP"
"GO:0010991",0.00944927843363264,0.999473289848152,3,5,"negative regulation of SMAD protein complex assembly","BP"
"GO:0016344",0.00947577977566054,0.999471249770208,3,5,"meiotic chromosome movement towards spindle pole","BP"
"GO:0030216",0.00979647979094206,0.996246317278631,13,62,"keratinocyte differentiation","BP"
"GO:0010592",0.0100405352782336,0.997951339836718,6,19,"positive regulation of lamellipodium assembly","BP"
"GO:0071498",0.0100777640716766,0.997942055342734,6,19,"cellular response to fluid shear stress","BP"
"GO:0010172",0.0101269673207374,0.99648853128771,11,49,"embryonic body morphogenesis","BP"
"GO:0098781",0.0101995016021961,0.995743945689895,15,76,"ncRNA transcription","BP"
"GO:0008612",0.0105965676970876,1,2,2,"peptidyl-lysine modification to peptidyl-hypusine","BP"
"GO:0060038",0.0106019739413081,0.998248495052153,5,14,"cardiac muscle cell proliferation","BP"
"GO:0090611",0.0106141914355757,1,2,2,"ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway","BP"
"GO:0098656",0.0106517090657184,0.993551334110814,39,259,"anion transmembrane transport","BP"
"GO:0035350",0.0106567259364001,1,2,2,"FAD transmembrane transport","BP"
"GO:0015880",0.010656736088533,1,2,2,"coenzyme A transport","BP"
"GO:0035349",0.010656736088533,1,2,2,"coenzyme A transmembrane transport","BP"
"GO:0080121",0.010656736088533,1,2,2,"AMP transport","BP"
"GO:0007441",0.0106673948375453,1,2,2,"anterior midgut (ectodermal) morphogenesis","BP"
"GO:0048615",0.0106673948375453,1,2,2,"embryonic anterior midgut (ectodermal) morphogenesis","BP"
"GO:0019474",0.0106970838937459,1,2,2,"L-lysine catabolic process to acetyl-CoA","BP"
"GO:0033514",0.0106970838937459,1,2,2,"L-lysine catabolic process to acetyl-CoA via L-pipecolate","BP"
"GO:0010609",0.0107082223770115,1,2,2,"mRNA localization resulting in post-transcriptional regulation of gene expression","BP"
"GO:0010171",0.0108564885964277,0.994884723738684,19,105,"body morphogenesis","BP"
"GO:0006352",0.011160937873686,0.994496246894116,21,120,"DNA-templated transcription initiation","BP"
"GO:0010927",0.0124177161987028,0.993291618294502,26,159,"cellular component assembly involved in morphogenesis","BP"
"GO:0042755",0.0127143711953772,0.995706843093947,10,44,"eating behavior","BP"
"GO:0048477",0.0129950820734327,0.990807138442874,74,554,"oogenesis","BP"
