category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology
GO:0008150,1.69E-26,1,1419,7834,biological_process,BP
GO:0006412,7.51E-25,1,83,163,translation,BP
GO:0009987,6.80E-20,1,1126,6219,cellular process,BP
GO:0044237,2.14E-15,1,795,4280,cellular metabolic process,BP
GO:0008152,4.94E-15,1,944,5206,metabolic process,BP
GO:1901576,3.84E-13,1,370,1749,organic substance biosynthetic process,BP
GO:0044238,7.86E-13,1,793,4398,primary metabolic process,BP
GO:0044249,8.41E-13,1,363,1712,cellular biosynthetic process,BP
GO:0009058,1.22E-12,1,380,1816,biosynthetic process,BP
GO:0071704,5.02E-12,1,811,4543,organic substance metabolic process,BP
GO:0009059,1.14E-10,1,263,1197,macromolecule biosynthetic process,BP
GO:0034645,1.22E-10,1,258,1166,cellular macromolecule biosynthetic process,BP
GO:0044260,1.95E-10,1,563,3019,cellular macromolecule metabolic process,BP
GO:0019538,4.66E-10,1,378,1965,protein metabolic process,BP
GO:0043170,3.13E-09,1,616,3410,macromolecule metabolic process,BP
GO:0016070,4.35E-08,1,265,1311,RNA metabolic process,BP
GO:0022900,9.45E-08,0.999999993,15,20,electron transport chain,BP
GO:0034654,1.03E-07,1,207,979,nucleobase-containing compound biosynthetic process,BP
GO:0018130,1.07E-07,1,219,1041,heterocycle biosynthetic process,BP
GO:0019438,1.76E-07,1,216,1034,aromatic compound biosynthetic process,BP
GO:1901362,2.13E-07,1,225,1085,organic cyclic compound biosynthetic process,BP
GO:0009142,2.76E-07,0.99999996,18,34,nucleoside triphosphate biosynthetic process,BP
GO:0090407,3.84E-07,1,62,233,organophosphate biosynthetic process,BP
GO:0046129,4.87E-07,0.999999908,21,45,purine ribonucleoside biosynthetic process,BP
GO:0072522,6.95E-07,0.999999817,28,74,purine-containing compound biosynthetic process,BP
GO:0042451,7.14E-07,0.99999986,21,46,purine nucleoside biosynthetic process,BP
GO:0044271,8.94E-07,0.999999639,219,1067,cellular nitrogen compound biosynthetic process,BP
GO:0022904,9.93E-07,0.999999944,12,15,respiratory electron transport chain,BP
GO:0009201,1.27E-06,0.999999835,15,27,ribonucleoside triphosphate biosynthetic process,BP
GO:0007017,1.30E-06,0.999999582,64,263,microtubule-based process,BP
GO:0030030,1.55E-06,0.999999473,78,336,cell projection organization,BP
GO:0006091,1.69E-06,0.999999506,30,82,generation of precursor metabolites and energy,BP
GO:1902600,1.80E-06,0.999999632,21,44,proton transmembrane transport,BP
GO:0009152,1.83E-06,0.99999955,24,62,purine ribonucleotide biosynthetic process,BP
GO:0009145,1.89E-06,0.999999774,14,24,purine nucleoside triphosphate biosynthetic process,BP
GO:0009206,1.89E-06,0.999999774,14,24,purine ribonucleoside triphosphate biosynthetic process,BP
GO:0006164,2.24E-06,0.999999439,24,63,purine nucleotide biosynthetic process,BP
GO:0042455,4.89E-06,0.999998812,22,55,ribonucleoside biosynthetic process,BP
GO:0007018,5.15E-06,0.999998238,32,118,microtubule-based movement,BP
GO:0009163,6.55E-06,0.999998366,22,56,nucleoside biosynthetic process,BP
GO:0032968,9.95E-06,0.99999967,7,9,positive regulation of transcription elongation by RNA polymerase II,BP
GO:0008380,1.01E-05,0.999995533,50,183,RNA splicing,BP
GO:0009260,1.10E-05,0.999996774,25,72,ribonucleotide biosynthetic process,BP
GO:0051234,1.11E-05,0.999992024,294,1647,establishment of localization,BP
GO:0006810,1.15E-05,0.999991856,289,1614,transport,BP
GO:0006139,1.19E-05,0.99999112,386,2152,nucleobase-containing compound metabolic process,BP
GO:0045047,1.22E-05,0.999998995,10,15,protein targeting to ER,BP
GO:0072599,1.22E-05,0.999998995,10,15,establishment of protein localization to endoplasmic reticulum,BP
GO:0034641,1.27E-05,0.999990434,417,2348,cellular nitrogen compound metabolic process,BP
GO:0032786,1.33E-05,0.999999009,9,14,"positive regulation of DNA-templated transcription, elongation",BP
GO:0006397,1.34E-05,0.999993507,62,253,mRNA processing,BP
GO:0071840,1.35E-05,0.999990123,333,1910,cellular component organization or biogenesis,BP
GO:0006613,1.37E-05,0.999998971,10,14,cotranslational protein targeting to membrane,BP
GO:0046390,1.43E-05,0.999995746,25,73,ribose phosphate biosynthetic process,BP
GO:0050794,1.95E-05,0.999984667,581,3392,regulation of cellular process,BP
GO:0015988,2.15E-05,0.999998104,10,15,"energy coupled proton transmembrane transport, against electrochemical gradient",BP
GO:0022613,2.39E-05,0.999993229,22,65,ribonucleoprotein complex biogenesis,BP
GO:0046483,2.61E-05,0.999980049,402,2264,heterocycle metabolic process,BP
GO:0006396,3.28E-05,0.999980915,95,440,RNA processing,BP
GO:0006414,3.35E-05,0.999994584,13,26,translational elongation,BP
GO:0006807,3.62E-05,0.999971776,449,2577,nitrogen compound metabolic process,BP
GO:0006725,3.95E-05,0.999969507,401,2267,cellular aromatic compound metabolic process,BP
GO:0006614,4.21E-05,0.99999667,9,13,SRP-dependent cotranslational protein targeting to membrane,BP
GO:0019083,4.22E-05,1,6,6,viral transcription,BP
