"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0050794",1.47693389484918e-12,1,464,3392,"regulation of cellular process","BP"
"GO:0007165",1.70314396546247e-12,1,221,1368,"signal transduction","BP"
"GO:0050789",8.57870519326598e-12,1,485,3615,"regulation of biological process","BP"
"GO:0035556",1.60027737815753e-11,1,103,514,"intracellular signal transduction","BP"
"GO:0065007",4.91437166780392e-11,1,505,3833,"biological regulation","BP"
"GO:0009966",1.1406453040735e-10,1,136,770,"regulation of signal transduction","BP"
"GO:0023051",2.29149777838259e-10,1,149,876,"regulation of signaling","BP"
"GO:0010646",2.30552747226299e-10,1,149,876,"regulation of cell communication","BP"
"GO:0008150",3.97040116272941e-09,1,922,7834,"biological_process","BP"
"GO:0031323",7.47696859177515e-09,1,278,1975,"regulation of cellular metabolic process","BP"
"GO:0019222",8.89220958059553e-09,1,307,2226,"regulation of metabolic process","BP"
"GO:0009987",1.26733802317819e-08,1,748,6219,"cellular process","BP"
"GO:0048583",1.57451110284272e-08,1,155,980,"regulation of response to stimulus","BP"
"GO:1902531",3.07316994784146e-08,1,86,464,"regulation of intracellular signal transduction","BP"
"GO:0080090",5.29310677995583e-08,1,270,1950,"regulation of primary metabolic process","BP"
"GO:0019220",5.65353894067697e-08,1,112,665,"regulation of phosphate metabolic process","BP"
"GO:0051174",6.60876648811451e-08,1,112,667,"regulation of phosphorus metabolic process","BP"
"GO:0048522",3.3297541658392e-07,1,190,1316,"positive regulation of cellular process","BP"
"GO:0051171",4.65695660878538e-07,1,213,1515,"regulation of nitrogen compound metabolic process","BP"
"GO:0048518",1.74350327527221e-06,0.999999073057317,204,1452,"positive regulation of biological process","BP"
"GO:0051716",1.93144294079434e-06,0.999998942888051,260,1932,"cellular response to stimulus","BP"
"GO:0019219",2.23729678870064e-06,0.999998672795998,209,1496,"regulation of nucleobase-containing compound metabolic process","BP"
"GO:0097190",4.13669630317912e-06,0.999998812609531,25,92,"apoptotic signaling pathway","BP"
"GO:2000026",4.25352342280014e-06,0.999998077279105,78,453,"regulation of multicellular organismal development","BP"
"GO:0031325",4.26525525716041e-06,0.999997660663469,122,793,"positive regulation of cellular metabolic process","BP"
"GO:0097191",4.70004407576304e-06,0.999999254937311,14,35,"extrinsic apoptotic signaling pathway","BP"
"GO:0007264",4.9260455760324e-06,0.999998079235308,39,178,"small GTPase mediated signal transduction","BP"
"GO:0065009",8.15522329230193e-06,0.999995183520115,132,884,"regulation of molecular function","BP"
"GO:0009893",8.24987260947413e-06,0.999995171082721,126,835,"positive regulation of metabolic process","BP"
"GO:0010604",1.89584856526483e-05,0.999988513141142,114,752,"positive regulation of macromolecule metabolic process","BP"
"GO:0060255",2.02268533943786e-05,0.999985661576457,244,1842,"regulation of macromolecule metabolic process","BP"
"GO:0016192",2.13721759012621e-05,0.999988434458314,76,457,"vesicle-mediated transport","BP"
"GO:0050793",2.45252162963204e-05,0.999985645902275,96,613,"regulation of developmental process","BP"
"GO:0050896",2.63417089907032e-05,0.999980555267984,317,2490,"response to stimulus","BP"
"GO:0007166",2.85128696277093e-05,0.999982688796189,110,727,"cell surface receptor signaling pathway","BP"
"GO:0046903",3.08410484309681e-05,0.999988332535916,31,139,"secretion","BP"
"GO:0032940",4.45268078504917e-05,0.999984136884292,27,116,"secretion by cell","BP"
"GO:0045184",4.90387094898305e-05,0.999970670803785,93,600,"establishment of protein localization","BP"
"GO:0045321",4.98744732186311e-05,0.999984386873165,22,87,"leukocyte activation","BP"
"GO:2001141",5.05615384255516e-05,0.999965781569614,160,1147,"regulation of RNA biosynthetic process","BP"
"GO:0006351",5.35417760288499e-05,0.999965969997336,119,809,"DNA-templated transcription","BP"
"GO:0042110",5.46625347942863e-05,0.999988402390273,14,43,"T cell activation","BP"
"GO:0046649",5.54466447870649e-05,0.999984356702626,19,70,"lymphocyte activation","BP"
"GO:0035821",5.96165301155212e-05,0.999990484417978,11,28,"modulation of process of another organism","BP"
"GO:0051649",6.58282701708467e-05,0.999959915647365,98,645,"establishment of localization in cell","BP"
"GO:0030098",7.38036273566367e-05,0.99998501431247,13,39,"lymphocyte differentiation","BP"
"GO:0031328",7.38375310343662e-05,0.999957623789028,77,481,"positive regulation of cellular biosynthetic process","BP"
"GO:0072332",8.01397357071151e-05,0.999991959599898,8,16,"intrinsic apoptotic signaling pathway by p53 class mediator","BP"
"GO:0030811",8.02827642238779e-05,0.999963051989767,41,215,"regulation of nucleotide catabolic process","BP"
"GO:0033121",8.02827642238779e-05,0.999963051989767,41,215,"regulation of purine nucleotide catabolic process","BP"
"GO:0032774",8.52750708543083e-05,0.999944779904842,121,834,"RNA biosynthetic process","BP"
"GO:0007265",8.59373608859763e-05,0.999979501087367,15,49,"Ras protein signal transduction","BP"
"GO:0006355",8.78169512406166e-05,0.999939928217719,157,1134,"regulation of DNA-templated transcription","BP"
"GO:0051345",8.80014734018934e-05,0.999955222469341,52,295,"positive regulation of hydrolase activity","BP"
"GO:0009894",8.85987123814598e-05,0.999952849195522,59,347,"regulation of catabolic process","BP"
"GO:0051252",8.952720551465e-05,0.999938325149862,163,1185,"regulation of RNA metabolic process","BP"
"GO:0051336",9.73682741880545e-05,0.999945696075216,67,409,"regulation of hydrolase activity","BP"
"GO:0051234",0.000117807360182173,0.999914467089155,216,1647,"establishment of localization","BP"
"GO:0044093",0.000123578665345848,0.999925659851569,85,552,"positive regulation of molecular function","BP"
"GO:0009891",0.000128128332253135,0.999924835503595,77,489,"positive regulation of biosynthetic process","BP"
"GO:0001775",0.000131691562061685,0.999949392066057,27,124,"cell activation","BP"
"GO:0010468",0.000138202331994762,0.999900451408862,200,1512,"regulation of gene expression","BP"
