"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0006259",1.49520399485375e-09,1,236,495,"DNA metabolic process","BP"
"GO:0006260",1.09761532249228e-07,0.999999952791968,92,170,"DNA replication","BP"
"GO:0007049",7.12078888285487e-05,0.999953082578982,188,427,"cell cycle","BP"
"GO:0051301",0.000157985125701242,0.999905893864839,113,244,"cell division","BP"
"GO:0006281",0.000185821556394255,0.999883589226632,132,290,"DNA repair","BP"
"GO:0032392",0.000702844750286461,0.999747480146591,29,50,"DNA geometric change","BP"
"GO:0090305",0.000822061563850482,0.999507910720782,88,193,"nucleic acid phosphodiester bond hydrolysis","BP"
"GO:0006275",0.000869319953451845,0.999703795743918,26,44,"regulation of DNA replication","BP"
"GO:0000280",0.000900524745912677,0.999435563286102,104,230,"nuclear division","BP"
"GO:0006270",0.00103112484159463,0.999870000591512,11,14,"DNA replication initiation","BP"
"GO:0032508",0.00117878341034675,0.999563246029268,28,49,"DNA duplex unwinding","BP"
"GO:0000075",0.00127290433804797,0.999427082110438,39,74,"cell cycle checkpoint signaling","BP"
"GO:0098581",0.00155479502051218,0.999910458930881,8,9,"detection of external biotic stimulus","BP"
"GO:0000723",0.00156196885765806,0.999440186793334,26,44,"telomere maintenance","BP"
"GO:0071103",0.001944021574565,0.999119239022951,37,70,"DNA conformation change","BP"
"GO:0030203",0.00224591868615377,0.999122173619289,27,49,"glycosaminoglycan metabolic process","BP"
"GO:0032200",0.00240607468978074,0.99909271445208,26,45,"telomere organization","BP"
"GO:0006310",0.00245362010213041,0.998590433297447,64,137,"DNA recombination","BP"
"GO:0051052",0.00273091185944461,0.998531107899132,52,107,"regulation of DNA metabolic process","BP"
"GO:1903047",0.00324235216673048,0.997716396413547,140,329,"mitotic cell cycle process","BP"
"GO:0007093",0.00330656728335892,0.998689198776872,26,47,"mitotic cell cycle checkpoint signaling","BP"
"GO:0001935",0.00381153188934971,0.999756327771414,7,8,"endothelial cell proliferation","BP"
"GO:0030199",0.00428420693965537,0.999351203656894,10,13,"collagen fibril organization","BP"
"GO:0008653",0.00430661212926191,1,5,5,"lipopolysaccharide metabolic process","BP"
