"feature_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Montipora_capitata_HIv3___RNAseq.g23004.t1",69278.9687171998,-8.61885560139737,0.162999387226788,-52.8766135139244,0,0
"Montipora_capitata_HIv3___RNAseq.g13832.t1",6506.90374536853,-6.30660255379272,0.141286202467582,-44.6370731440657,0,0
"Montipora_capitata_HIv3___TS.g46148.t1",5036.48349193605,-6.57150962096116,0.150176365607669,-43.7586140426983,0,0
"Montipora_capitata_HIv3___RNAseq.g29568.t1",26694.6506120567,-9.76766962383388,0.184756197239502,-52.8678862726967,0,0
"Montipora_capitata_HIv3___RNAseq.g5539.t1",27990.683240617,-5.44964133870934,0.139524592310856,-39.0586437018052,0,0
"Montipora_capitata_HIv3___TS.g45793.t1a",57741.643122332,-7.40682651096164,0.122760270030762,-60.3356974459702,0,0
"Montipora_capitata_HIv3___RNAseq.g466.t1a",2957.44854527045,-6.78007466968848,0.177561663973014,-38.1843384319654,0,0
"Montipora_capitata_HIv3___TS.g8082.t1",10696.1186349212,-7.56630192295728,0.194112892675673,-38.9788736784176,0,0
"Montipora_capitata_HIv3___RNAseq.g49879.t1",9057.83242485502,-6.6033461166512,0.153890878698198,-42.9092755367347,0,0
"Montipora_capitata_HIv3___RNAseq.g1557.t1",15892.0372192568,-9.45804587051557,0.186633423006336,-50.6771280200679,0,0
"Montipora_capitata_HIv3___RNAseq.g27007.t1",48241.4088575686,-9.99700852369882,0.213407007104728,-46.8447997998157,0,0
"Montipora_capitata_HIv3___TS.g18692.t1",38646.9816780279,-6.17603496798955,0.132477506984688,-46.6194987251941,0,0
"Montipora_capitata_HIv3___RNAseq.g23374.t1",7309.98241803958,-6.65552571125801,0.145170961956022,-45.8461225411885,0,0
"Montipora_capitata_HIv3___TS.g46731.t1",8378.01429115439,-4.52234130625263,0.121158549093008,-37.3258126653617,6.25959101313365e-305,1.40022579827362e-301
"Montipora_capitata_HIv3___RNAseq.g19137.t1",31278.1449950683,-10.3113166620735,0.278774162293025,-36.9880643789187,1.78135324592884e-299,3.71910930685024e-296
"Montipora_capitata_HIv3___RNAseq.g34226.t1",51355.8128479018,-9.42588025307372,0.269966106642992,-34.9150505235039,4.39433115250076e-267,8.60107929392914e-264
"Montipora_capitata_HIv3___RNAseq.g47366.t1",3281.27514155058,-9.51521947098325,0.273246383639986,-34.8228560035399,1.09692548905622e-265,2.02073032592786e-262
"Montipora_capitata_HIv3___TS.g10140.t1",22466.5009421146,-8.74549164373371,0.25521820039275,-34.2667240434869,2.45804087372086e-257,4.27658144679534e-254
"Montipora_capitata_HIv3___TS.g15576.t1",2644.86313119716,-6.65019423511098,0.19931636434743,-33.3650187574111,4.41200266388655e-244,7.27214144341764e-241
"Montipora_capitata_HIv3___RNAseq.g34080.t1",37903.6648164735,-8.42871033704912,0.253181610605079,-33.2911632756634,5.18317535605722e-243,8.1160751312822e-240
"Montipora_capitata_HIv3___RNAseq.g6651.t1",2366.26105926419,-6.4760369756826,0.198570374140057,-32.6133090282384,2.65624638587684e-233,3.96122228888119e-230
"Montipora_capitata_HIv3___TS.g6402.t1a",8738.85598511757,-7.9416252529748,0.244432916554388,-32.4899991577351,1.47619093132741e-231,2.10135779074457e-228
"Montipora_capitata_HIv3___TS.g8083.t1",35864.3470626955,-6.86223828682766,0.211851447520074,-32.391746042601,3.58701266491486e-230,4.88410763596254e-227
"Montipora_capitata_HIv3___RNAseq.g24846.t1",3214.76987454652,-5.21955477149942,0.161909019695687,-32.2375787421215,5.25287497500205e-228,6.8543452330058e-225
"Montipora_capitata_HIv3___TS.g8010.t1",4922.11172264558,-8.13716954895388,0.25476151219882,-31.9403409044122,7.3575963276777e-224,9.21671376775531e-221
"Montipora_capitata_HIv3___RNAseq.g20129.t1",22056.5176882677,-7.42737554120438,0.233689957112089,-31.783032668545,1.11072316997088e-221,1.33786605822992e-218
"Montipora_capitata_HIv3___RNAseq.g467.t1",86420.8521595772,-6.69118675851074,0.211167329046449,-31.6866571582146,2.37244006367192e-220,2.7517668694079e-217
"Montipora_capitata_HIv3___RNAseq.g44097.t3c",6139.91684501994,-3.90935833533189,0.124176008368131,-31.4823965330102,1.51299804283826e-217,1.69223427527021e-214
