category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology
GO:0048598,0.000155415,0.999925928,38,705,embryonic morphogenesis,BP
GO:0046900,0.000251861,0.999996186,3,5,tetrahydrofolylpolyglutamate metabolic process,BP
GO:0007391,0.000773142,0.999797833,11,121,dorsal closure,BP
GO:0016331,0.000889544,0.999656334,19,295,morphogenesis of embryonic epithelium,BP
GO:0019319,0.001873159,0.999763189,5,32,hexose biosynthetic process,BP
GO:0003062,0.002193688,0.999979726,2,3,regulation of heart rate by chemical signal,BP
GO:0035277,0.002443807,0.999770168,4,20,"spiracle morphogenesis, open tracheal system",BP
GO:0006425,0.003312176,0.999807721,3,11,glutaminyl-tRNA aminoacylation,BP
GO:1904888,0.003464143,0.999142082,8,88,cranial skeletal system development,BP
GO:0001700,0.003616925,0.998770976,12,168,embryonic development via the syncytial blastoderm,BP
GO:0097272,0.004211138,0.999923248,2,4,ammonium homeostasis,BP
GO:0072583,0.004328946,0.99932425,5,38,clathrin-dependent endocytosis,BP
GO:1901841,0.004623093,0.999911567,2,4,regulation of high voltage-gated calcium channel activity,BP
GO:0019749,0.004717508,0.999908811,2,4,"cytoskeleton-dependent cytoplasmic transport, nurse cell to oocyte",BP
GO:0035213,0.004723719,0.999908628,2,4,clypeo-labral disc development,BP
GO:0048728,0.004723719,0.999908628,2,4,proboscis development,BP
GO:0021559,0.004863863,0.99990448,2,4,trigeminal nerve development,BP
GO:0048488,0.005501677,0.998874083,6,57,synaptic vesicle endocytosis,BP
GO:0006760,0.006035377,0.999243013,4,26,folic acid-containing compound metabolic process,BP
GO:0035476,0.007470589,0.999787505,2,5,angioblast cell migration,BP
GO:0070344,0.007923365,0.999767592,2,5,regulation of fat cell proliferation,BP
GO:0035279,0.00899968,0.99919253,3,16,miRNA-mediated gene silencing by mRNA destabilization,BP
GO:0098795,0.00899968,0.99919253,3,16,global gene silencing by mRNA cleavage,BP
GO:0046364,0.009798973,0.99811265,5,46,monosaccharide biosynthetic process,BP
GO:0036465,0.009808309,0.997718589,6,64,synaptic vesicle recycling,BP
GO:0033144,0.009989792,0.998535311,4,29,negative regulation of intracellular steroid hormone receptor signaling pathway,BP
GO:0006094,0.010635003,0.998402734,4,31,gluconeogenesis,BP
GO:1902514,0.010844148,0.999592748,2,6,regulation of calcium ion transmembrane transport via high voltage-gated calcium channel,BP
GO:0090305,0.011302019,0.99515998,14,246,nucleic acid phosphodiester bond hydrolysis,BP
GO:0110011,0.011593711,0.99954902,2,6,regulation of basement membrane organization,BP
GO:0090501,0.012095421,0.995943527,9,130,RNA phosphodiester bond hydrolysis,BP
GO:0045500,0.012125325,0.999517069,2,6,sevenless signaling pathway,BP
GO:0030048,0.012524657,0.996486765,7,87,actin filament-based movement,BP
GO:0061951,0.012650015,0.997990857,4,33,establishment of protein localization to plasma membrane,BP
GO:0010717,0.0130876,0.997282273,5,49,regulation of epithelial to mesenchymal transition,BP
GO:0043123,0.013938379,0.996487643,6,70,positive regulation of I-kappaB kinase/NF-kappaB signaling,BP
GO:0032790,0.014754077,0.999312718,2,7,ribosome disassembly,BP
GO:0003404,0.014991959,0.9992957,2,7,optic vesicle morphogenesis,BP
GO:0046503,0.015167038,0.997458178,4,33,glycerolipid catabolic process,BP
GO:0006835,0.015287758,0.996692325,5,51,dicarboxylic acid transport,BP
GO:0061029,0.016292224,0.999200116,2,7,eyelid development in camera-type eye,BP
GO:0035331,0.016325694,0.998120015,3,20,negative regulation of hippo signaling,BP
GO:0032482,0.017300988,0.996971389,4,35,Rab protein signal transduction,BP
GO:0016358,0.017739792,0.992534002,12,210,dendrite development,BP
GO:0007296,0.018521763,0.997763407,3,20,vitellogenesis,BP
GO:0034058,0.019149966,0.997658234,3,20,endosomal vesicle fusion,BP
GO:0006418,0.019494976,0.996449358,4,37,tRNA aminoacylation for protein translation,BP
GO:0043039,0.019494976,0.996449358,4,37,tRNA aminoacylation,BP
GO:0090254,0.019594067,0.997583061,3,20,cell elongation involved in imaginal disc-derived wing morphogenesis,BP
GO:0051764,0.019662842,0.998892984,2,8,actin crosslink formation,BP
GO:0001843,0.020454055,0.993654307,7,97,neural tube closure,BP
GO:0016348,0.020532685,0.997408628,3,21,imaginal disc-derived leg joint morphogenesis,BP
GO:0016189,0.020597862,0.998811233,2,8,synaptic vesicle to endosome fusion,BP
GO:0033147,0.021060784,0.998769996,2,8,negative regulation of intracellular estrogen receptor signaling pathway,BP
GO:0048701,0.021090993,0.994155349,6,76,embryonic cranial skeleton morphogenesis,BP
GO:0045175,0.022218701,0.998664673,2,8,basal protein localization,BP
GO:0060606,0.022398909,0.992917777,7,99,tube closure,BP
GO:0010750,0.02362379,1,1,1,positive regulation of nitric oxide mediated signal transduction,BP
GO:1902261,0.02362379,1,1,1,positive regulation of delayed rectifier potassium channel activity,BP
GO:1903116,0.02362379,1,1,1,positive regulation of actin filament-based movement,BP
GO:1903762,0.02362379,1,1,1,positive regulation of voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization,BP
GO:1903947,0.02362379,1,1,1,positive regulation of ventricular cardiac muscle cell action potential,BP
GO:1905026,0.02362379,1,1,1,positive regulation of membrane repolarization during ventricular cardiac muscle cell action potential,BP
GO:1905033,0.02362379,1,1,1,positive regulation of membrane repolarization during cardiac muscle cell action potential,BP
GO:2000170,0.02362379,1,1,1,positive regulation of peptidyl-cysteine S-nitrosylation,BP
GO:0006436,0.023784614,1,1,1,tryptophanyl-tRNA aminoacylation,BP
GO:0052548,0.023845439,0.989971324,11,193,regulation of endopeptidase activity,BP
GO:0043603,0.024086003,0.985862928,26,601,cellular amide metabolic process,BP
GO:1905954,0.024168845,0.993086633,6,78,positive regulation of lipid localization,BP
GO:1905114,0.024478552,0.989209893,12,220,cell surface receptor signaling pathway involved in cell-cell signaling,BP
GO:0009653,0.024636926,0.981982139,74,2065,anatomical structure morphogenesis,BP
GO:0007480,0.024651089,0.992917002,6,78,imaginal disc-derived leg morphogenesis,BP
GO:1901385,0.024785974,0.998377044,2,9,regulation of voltage-gated calcium channel activity,BP
GO:0048845,0.024836878,0.998371918,2,9,venous blood vessel morphogenesis,BP
GO:0014020,0.025036777,0.991897412,7,101,primary neural tube formation,BP
GO:0009249,0.025505091,0.998304093,2,9,protein lipoylation,BP
GO:0002468,0.025857986,1,1,1,dendritic cell antigen processing and presentation,BP
GO:0007465,0.026093454,0.998243555,2,9,R7 cell fate commitment,BP
GO:0007478,0.026093937,0.992401197,6,79,leg disc morphogenesis,BP
