"","MEdarkolivegreen","Mean"
"Larva1_Atenuis",-0.285506615202243,-0.285506615202243
"Larva2_Atenuis",-0.286790338566204,-0.286790338566204
"Larva3_Atenuis",-0.287301673934918,-0.287301673934918
"Meta1_Atenuis",-0.28714110701997,-0.28714110701997
"Meta2_Atenuis",-0.287019443898359,-0.287019443898359
"Meta3_Atenuis",-0.286218967182291,-0.286218967182291
"Spat1_Atenuis",-0.28753821099056,-0.28753821099056
"Spat2_Atenuis",-0.287270047469585,-0.287270047469585
"Spat3_Atenuis",-0.287048369093594,-0.287048369093594
"Larva1_Mcap",0.0687941269073183,0.0687941269073183
"Larva2_Mcap",0.0779709934180611,0.0779709934180611
"Larva3_Mcap",0.0771717736527964,0.0771717736527964
"Meta1_Mcap",0.0701907051883055,0.0701907051883055
"Meta2_Mcap",0.0709071844373398,0.0709071844373398
"Meta3_Mcap",0.0749446500317067,0.0749446500317067
"Spat1_Mcap",0.134010880683504,0.134010880683504
"Spat2_Mcap",0.123850400252685,0.123850400252685
"Spat3_Mcap",0.101452924505338,0.101452924505338
"Larva1_Pacu",0.130609602437121,0.130609602437121
"Larva2_Pacu",0.116464275643977,0.116464275643977
"Larva3_Pacu",0.109878960264618,0.109878960264618
"Meta1_Pacu",0.0990399180835566,0.0990399180835566
"Meta2_Pacu",0.106239295880515,0.106239295880515
"Meta3_Pacu",0.0873040022527201,0.0873040022527201
"Spat1_Pacu",0.117530466987029,0.117530466987029
"Spat2_Pacu",0.108685971490291,0.108685971490291
"Spat3_Pacu",0.117163710065125,0.117163710065125
"Larva1_Spis",0.0908969597729261,0.0908969597729261
"Larva2_Spis",0.114499433075289,0.114499433075289
"Larva3_Spis",0.104256342650296,0.104256342650296
"Meta1_Spis",0.057934446487794,0.057934446487794
"Meta2_Spis",0.0570890525370614,0.0570890525370614
"Meta3_Spis",0.109709676415403,0.109709676415403
"Spat1_Spis",0.0895998778788702,0.0895998778788702
"Spat2_Spis",0.0808189571095343,0.0808189571095343
"Spat3_Spis",0.0848201852485426,0.0848201852485426
