"","MEdarkslateblue","Mean"
"Larva1_Atenuis",0.247878091508619,0.247878091508619
"Larva2_Atenuis",0.228031629119861,0.228031629119861
"Larva3_Atenuis",0.260205280205035,0.260205280205035
"Meta1_Atenuis",0.276564578836276,0.276564578836276
"Meta2_Atenuis",0.320552574697488,0.320552574697488
"Meta3_Atenuis",0.32503299254631,0.32503299254631
"Spat1_Atenuis",0.163538002042854,0.163538002042854
"Spat2_Atenuis",0.162631049973428,0.162631049973428
"Spat3_Atenuis",0.165690800294145,0.165690800294145
"Larva1_Mcap",0.017402809855709,0.017402809855709
"Larva2_Mcap",0.0249153945867574,0.0249153945867574
"Larva3_Mcap",0.0232373348076281,0.0232373348076281
"Meta1_Mcap",0.0093426289781606,0.0093426289781606
"Meta2_Mcap",0.0276110601492349,0.0276110601492349
"Meta3_Mcap",0.0171357018739922,0.0171357018739922
"Spat1_Mcap",0.100362624544739,0.100362624544739
"Spat2_Mcap",0.129097923231865,0.129097923231865
"Spat3_Mcap",0.0844202220078642,0.0844202220078642
"Larva1_Pacu",-0.0683939100119289,-0.0683939100119289
"Larva2_Pacu",-0.0503894099479016,-0.0503894099479016
"Larva3_Pacu",-0.0881242579219301,-0.0881242579219301
"Meta1_Pacu",-0.124637695591397,-0.124637695591397
"Meta2_Pacu",-0.118461931110477,-0.118461931110477
"Meta3_Pacu",-0.116428562050097,-0.116428562050097
"Spat1_Pacu",-0.110657060109625,-0.110657060109625
"Spat2_Pacu",-0.116225490281544,-0.116225490281544
"Spat3_Pacu",-0.0779949990856462,-0.0779949990856462
"Larva1_Spis",-0.187830370385061,-0.187830370385061
"Larva2_Spis",-0.202060762141723,-0.202060762141723
"Larva3_Spis",-0.195077648848191,-0.195077648848191
"Meta1_Spis",-0.206323943353695,-0.206323943353695
"Meta2_Spis",-0.198043674561802,-0.198043674561802
"Meta3_Spis",-0.174700947567041,-0.174700947567041
"Spat1_Spis",-0.171642074269078,-0.171642074269078
"Spat2_Spis",-0.184544804382728,-0.184544804382728
"Spat3_Spis",-0.192113157640098,-0.192113157640098
