"","MElightyellow","MEdarkred","MEturquoise","MEroyalblue","MEsalmon","MEbisque4","MEmidnightblue","MEpaleturquoise","MEblack","MEpink","MEpurple","MEdarkmagenta","MEblue","MEskyblue3","Mean"
"Larva1_Atenuis",-0.044142590028821,0.0484333030378908,0.081721878935267,0.00644689486789105,0.0574381748950624,0.0189106201763389,0.00180917280557587,0.0460877413860733,-0.152273555571869,-0.0353840099680043,-0.131687731902307,-0.211514475900673,0.0914107850791957,0.0663028441067875,-0.0111743534343994
"Larva2_Atenuis",-0.0424280271509048,0.0525747635205421,0.100519915008708,-0.0367466153726443,0.0241266796290115,-0.00671687059316993,-0.0582522121836343,0.0148151005185697,-0.15291266383201,-0.0411584292327881,-0.148488744564793,-0.204968946513776,0.0979741807233615,0.0482348585111719,-0.0252447865380254
"Larva3_Atenuis",-0.0304043615936815,0.0683192949655989,0.0764396482200319,-0.0644339345653291,0.0274610507670685,0.0911726806505319,-0.0871988889260461,0.0496367862629455,-0.169730758484252,-0.0525483696884134,-0.145551614853762,-0.189111230389125,0.0890245524602472,0.0461197103933085,-0.0207718167700626
"Meta1_Atenuis",-0.170865800504076,0.0568071221239026,0.0775209865485671,0.0121553483809553,0.0593301731448915,-0.00887898314939932,0.0613425313379755,0.0971799808227393,-0.0831944269171266,-0.137838257092655,-0.0692938135522242,0.259181151710831,0.0469522853855004,0.124553793792135,0.0232108637165726
"Meta2_Atenuis",-0.133371342172819,0.0578928091758543,0.0730496713727067,-0.0130968539695477,0.0627449436185856,0.0204490073899826,-0.0078463181530039,0.0893464385339561,-0.0819714048219679,-0.136055847288933,-0.0610105543723507,0.272614274698415,0.0713185693057841,0.131246327561281,0.0246649800627103
"Meta3_Atenuis",-0.142745537359383,0.0736553228424837,0.0575729182603766,-0.00819681425189738,0.0565436052401928,0.0256075009034861,0.00825935021130637,0.063668593335216,-0.122177468326212,-0.141039269983941,-0.0857742833785782,0.241184461482552,-0.000302489193077321,0.129806020668089,0.011147279317901
"Spat1_Atenuis",0.171469629470168,-0.147876629345261,-0.163998742058913,-0.0266609995517031,-0.125101538372029,-0.103129153558663,0.00380009180251327,-0.161150856712005,0.249652337779977,0.166836693112103,0.189219348106847,-0.0563468784383689,-0.113543347987434,-0.197627136086534,-0.0224612272742359
"Spat2_Atenuis",0.167043459987934,-0.117016024516883,-0.158720984010207,0.0226321629241597,-0.126963659467155,0.00437039893913584,-0.0102707796270261,-0.150162652270927,0.240974798109197,0.149062057886055,0.185745665715836,-0.0684386955796865,-0.132539376199975,-0.196869935984107,-0.0136538260066892
"Spat3_Atenuis",0.181869604199349,-0.160562956346699,-0.177969161818056,0.0240003978941466,-0.109283838102301,-0.113872714387219,0.0308026454089161,-0.138599211184898,0.264675533231679,0.18351525605702,0.225673997472579,-0.0395429600377752,-0.135752633910358,-0.187543493246823,-0.0108992524836028
"Larva1_Mcap",-0.158256954307678,-0.173180011944945,-0.140371358890349,-0.180348973837074,-0.190438565817434,-0.185179007690924,-0.152723299094068,-0.172051070198458,-0.155356715179856,-0.152679705833633,-0.178099055735071,-0.2013008827645,-0.144159453422709,-0.173925426339624,-0.168433605789737
