"","MEorangered4","Mean"
"Larva1_Atenuis",0.126144283778468,0.126144283778468
"Larva2_Atenuis",0.138917220818508,0.138917220818508
"Larva3_Atenuis",0.131878533364564,0.131878533364564
"Meta1_Atenuis",0.102622222197878,0.102622222197878
"Meta2_Atenuis",0.0128054858005381,0.0128054858005381
"Meta3_Atenuis",0.0824365947621228,0.0824365947621228
"Spat1_Atenuis",-0.193732026708469,-0.193732026708469
"Spat2_Atenuis",-0.220368545460283,-0.220368545460283
"Spat3_Atenuis",-0.20683200243014,-0.20683200243014
"Larva1_Mcap",0.0804051987848919,0.0804051987848919
"Larva2_Mcap",0.0911320185423862,0.0911320185423862
"Larva3_Mcap",0.113772181473552,0.113772181473552
"Meta1_Mcap",0.101512376279653,0.101512376279653
"Meta2_Mcap",0.0973113538857148,0.0973113538857148
"Meta3_Mcap",0.0707208487588739,0.0707208487588739
"Spat1_Mcap",-0.19262594472278,-0.19262594472278
"Spat2_Mcap",-0.216571502144655,-0.216571502144655
"Spat3_Mcap",-0.184933860177138,-0.184933860177138
"Larva1_Pacu",-0.11880036422463,-0.11880036422463
"Larva2_Pacu",-0.124667173752537,-0.124667173752537
"Larva3_Pacu",-0.11581794628232,-0.11581794628232
"Meta1_Pacu",0.333721951147661,0.333721951147661
"Meta2_Pacu",0.304495541156287,0.304495541156287
"Meta3_Pacu",0.267163107999177,0.267163107999177
"Spat1_Pacu",-0.198051265028841,-0.198051265028841
"Spat2_Pacu",-0.149999547672027,-0.149999547672027
"Spat3_Pacu",-0.153789419873994,-0.153789419873994
"Larva1_Spis",0.150873376395841,0.150873376395841
"Larva2_Spis",-0.0551500411296465,-0.0551500411296465
"Larva3_Spis",0.0887134632982533,0.0887134632982533
"Meta1_Spis",-0.144582697624427,-0.144582697624427
"Meta2_Spis",-0.333053426465698,-0.333053426465698
"Meta3_Spis",-0.0862086788072646,-0.0862086788072646
"Spat1_Spis",0.135799835239806,0.135799835239806
"Spat2_Spis",0.131879733929101,0.131879733929101
"Spat3_Spis",0.132879114891572,0.132879114891572
