"","MEyellowgreen","Mean"
"Larva1_Atenuis",0.0481082369796245,0.0481082369796245
"Larva2_Atenuis",0.0413757656724919,0.0413757656724919
"Larva3_Atenuis",0.0280817837680011,0.0280817837680011
"Meta1_Atenuis",0.137937839549063,0.137937839549063
"Meta2_Atenuis",0.0845840894667526,0.0845840894667526
"Meta3_Atenuis",0.0860187283049988,0.0860187283049988
"Spat1_Atenuis",-0.200046190750654,-0.200046190750654
"Spat2_Atenuis",-0.169372810090783,-0.169372810090783
"Spat3_Atenuis",-0.143241716828938,-0.143241716828938
"Larva1_Mcap",0.0520345409558556,0.0520345409558556
"Larva2_Mcap",0.0616752666947228,0.0616752666947228
"Larva3_Mcap",0.0850257977009309,0.0850257977009309
"Meta1_Mcap",0.0420343493771122,0.0420343493771122
"Meta2_Mcap",0.0230141742887103,0.0230141742887103
"Meta3_Mcap",0.0646740089460846,0.0646740089460846
"Spat1_Mcap",-0.0227045302768066,-0.0227045302768066
"Spat2_Mcap",-0.136664431182746,-0.136664431182746
"Spat3_Mcap",-0.219852570660786,-0.219852570660786
"Larva1_Pacu",-0.0268132345850731,-0.0268132345850731
"Larva2_Pacu",-0.0636257526088051,-0.0636257526088051
"Larva3_Pacu",-0.126453595960634,-0.126453595960634
"Meta1_Pacu",-0.16977775479816,-0.16977775479816
"Meta2_Pacu",-0.0831386272785058,-0.0831386272785058
"Meta3_Pacu",-0.178112017275297,-0.178112017275297
"Spat1_Pacu",0.228668578712736,0.228668578712736
"Spat2_Pacu",0.194208603998643,0.194208603998643
"Spat3_Pacu",0.228162920597695,0.228162920597695
"Larva1_Spis",0.202775813884984,0.202775813884984
"Larva2_Spis",0.421485044340655,0.421485044340655
"Larva3_Spis",0.2736287359144,0.2736287359144
"Meta1_Spis",0.191776722675349,0.191776722675349
"Meta2_Spis",-0.31478844365038,-0.31478844365038
"Meta3_Spis",-0.0435430271259258,-0.0435430271259258
"Spat1_Spis",-0.147033661118418,-0.147033661118418
"Spat2_Spis",-0.228830156053694,-0.228830156053694
"Spat3_Spis",-0.221272481583205,-0.221272481583205
