"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0001757",0.000251872014693121,0.999989915215559,4,9,"somite specification","BP"
"GO:1901699",0.000662579839665336,0.999676391238583,33,460,"cellular response to nitrogen compound","BP"
"GO:0071417",0.00181526116759781,0.999112359214595,28,393,"cellular response to organonitrogen compound","BP"
"GO:0036500",0.00186790216106413,0.999925267683075,3,7,"ATF6-mediated unfolded protein response","BP"
"GO:0032103",0.00231956696569958,0.999054785724371,18,217,"positive regulation of response to external stimulus","BP"
"GO:0045572",0.00289581216018254,0.999855586544323,3,8,"positive regulation of imaginal disc growth","BP"
"GO:1902883",0.00438173154542055,0.999165014226585,6,40,"negative regulation of response to oxidative stress","BP"
"GO:0050921",0.00451907035220653,0.998520138986011,11,112,"positive regulation of chemotaxis","BP"
"GO:0002478",0.00455490657922378,0.998834247747668,8,67,"antigen processing and presentation of exogenous peptide antigen","BP"
"GO:0097009",0.00461951000039754,0.999488623888109,4,18,"energy homeostasis","BP"
"GO:0070633",0.00496859927081958,0.999218187117754,5,29,"transepithelial transport","BP"
"GO:0072488",0.00496927076322324,0.999218056223954,5,29,"ammonium transmembrane transport","BP"
"GO:0019884",0.00545478225286021,0.998558412094,8,69,"antigen processing and presentation of exogenous antigen","BP"
"GO:0002479",0.0058619037480054,0.999592189669516,3,10,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent","BP"
"GO:0051438",0.00667445343084767,0.998372423505183,7,57,"regulation of ubiquitin-protein transferase activity","BP"
"GO:0035002",0.00782744446257275,0.99937898291934,3,11,"liquid clearance, open tracheal system","BP"
"GO:2000121",0.00782772177214068,0.999378952836939,3,11,"regulation of removal of superoxide radicals","BP"
"GO:0060100",0.00822777811108211,0.998899180788898,4,21,"positive regulation of phagocytosis, engulfment","BP"
"GO:1905155",0.00822777811108211,0.998899180788898,4,21,"positive regulation of membrane invagination","BP"
"GO:0048002",0.00829039830161211,0.99763725206969,8,74,"antigen processing and presentation of peptide antigen","BP"
"GO:0048630",0.00871640290112464,0.999767727829471,2,4,"skeletal muscle tissue growth","BP"
"GO:0002532",0.00872355503263157,0.998406285096063,5,33,"production of molecular mediator involved in inflammatory response","BP"
"GO:1904106",0.00873873228526015,0.999766819401181,2,4,"protein localization to microvillus","BP"
"GO:0070358",0.00874082514279027,0.999766734193588,2,4,"actin polymerization-dependent cell motility","BP"
"GO:0001779",0.0087413541629126,0.99976671265359,2,4,"natural killer cell differentiation","BP"
"GO:0005513",0.0101253593002198,0.999098548399419,3,12,"detection of calcium ion","BP"
"GO:0002279",0.0101335834540642,0.999097544919708,3,12,"mast cell activation involved in immune response","BP"
"GO:0043303",0.0101335834540642,0.999097544919708,3,12,"mast cell degranulation","BP"
"GO:0031349",0.0105730724393522,0.995533303967109,14,178,"positive regulation of defense response","BP"
"GO:0050920",0.0109619923742442,0.995522667957934,13,161,"regulation of chemotaxis","BP"
"GO:1903202",0.0111994649933081,0.997812601179742,5,35,"negative regulation of oxidative stress-induced cell death","BP"
"GO:0002448",0.0127948491136936,0.99873669196982,3,13,"mast cell mediated immunity","BP"
"GO:0042590",0.0127961956710434,0.998736509370301,3,13,"antigen processing and presentation of exogenous peptide antigen via MHC class I","BP"
"GO:0071277",0.0140980641208953,0.997070379319713,5,37,"cellular response to calcium ion","BP"
"GO:1900408",0.0141067290210633,0.997068126643456,5,37,"negative regulation of cellular response to oxidative stress","BP"
"GO:0006667",0.0141854084754598,0.999434210674849,2,5,"sphinganine metabolic process","BP"
"GO:0006624",0.0141867666211335,0.999434127737487,2,5,"vacuolar protein processing","BP"
"GO:0010499",0.0141904775180936,0.999433901103617,2,5,"proteasomal ubiquitin-independent protein catabolic process","BP"
"GO:0015879",0.0141915265999003,0.999433837027709,2,5,"carnitine transport","BP"
