"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0007391",3.13004435905338e-05,0.999990749681753,20,121,"dorsal closure","BP"
"GO:0036465",0.00034441279696427,0.999915800794269,12,64,"synaptic vesicle recycling","BP"
"GO:0001700",0.000440379630618432,0.999829237588961,22,168,"embryonic development via the syncytial blastoderm","BP"
"GO:0006760",0.000630440566760674,0.999908058891421,7,26,"folic acid-containing compound metabolic process","BP"
"GO:0052548",0.00119593344157177,0.99948557193076,23,193,"regulation of endopeptidase activity","BP"
"GO:0048598",0.00138403707498584,0.999144465527345,62,705,"embryonic morphogenesis","BP"
"GO:0032456",0.00164859118992988,0.999616417439814,9,47,"endocytic recycling","BP"
"GO:0009894",0.00174281594114912,0.998902954692635,64,740,"regulation of catabolic process","BP"
"GO:0090051",0.00176637122158087,0.99980365420231,5,16,"negative regulation of cell migration involved in sprouting angiogenesis","BP"
"GO:0048488",0.00177315419537253,0.999539910685284,10,57,"synaptic vesicle endocytosis","BP"
"GO:0046900",0.00199740771924515,0.999937252257402,3,5,"tetrahydrofolylpolyglutamate metabolic process","BP"
"GO:0006548",0.00200124140301083,0.999937088500196,3,5,"histidine catabolic process","BP"
"GO:0052805",0.00200124140301083,0.999937088500196,3,5,"imidazole-containing compound catabolic process","BP"
"GO:0031329",0.00203625721624413,0.998734693128271,59,675,"regulation of cellular catabolic process","BP"
"GO:0010717",0.00219672961220624,0.999464165974562,9,49,"regulation of epithelial to mesenchymal transition","BP"
"GO:0010506",0.00275052854305098,0.998605248030035,29,280,"regulation of autophagy","BP"
"GO:0006425",0.00297498016794757,0.999743081801365,4,11,"glutaminyl-tRNA aminoacylation","BP"
"GO:0016331",0.00300100660326417,0.998448882375065,30,295,"morphogenesis of embryonic epithelium","BP"
"GO:0019050",0.00327255729184318,1,2,2,"suppression by virus of host apoptotic process","BP"
"GO:0033668",0.00327255729184318,1,2,2,"negative regulation by symbiont of host apoptotic process","BP"
