Unique_ID,Protein.Accession,Larva_4,Larva_5,Larva_6,Larva_8,Larva_9,Spat_2,Spat_3,Spat_4,Spat_5,Spat_6
Spis_Protein1,A0A059U7T2,26565.59798,20080.34978,637395.0846,6790.769333,443939.0038,9080.365872,24995.09008,776775.7689,558432.5557,69363.57786
Spis_Protein2,A0A059UGC1|A0A059UGU6|A0A342YVI2|B5L5L5|B5MFS3,494706.7264,290088.0852,60080.4453,72980.32335,74075.9374,688003.9961,764647.6078,70223.88378,568484.0359,654470.5707
Spis_Protein3,A0A0G2SJD9,8305896.26,2407906.579,550733.8706,8845.54783,852474.3528,68388042.3,55605030.9,66827847.73,6496726.074,5024908.228
Spis_Protein4,A0A0G2SJL4|A0A2B4SEX6,233789.788,266245.09,270426.6864,2547005.62,2698.342692,873300.9708,859594.0657,9734837.691,9707449.959,9300692.498
Spis_Protein5,A0A0G2SJL5,6456483.033,32020896.76,873720.437,229007.0868,5648498.229,46527.98957,3523406.832,4682267.038,536382.2489,3574283.489
Spis_Protein6,A0A1B0Y2D9,747449.0696,97084.40244,483550.959,808343.5823,23729.73243,984374.5333,885472.4957,47670.521,747698.3297,72809.64253
Spis_Protein7,A0A1B0Y357|A0A2B4S3Q4,244650993.8,24780720.85,3444523.979,204587.8386,29892862.68,323829346.7,3904375.587,357549686.3,3575896.685,37923782.89
Spis_Protein8,A0A1B0Y5H1|A0A2B4RB23,0.001,0.495345356,0.001,0.001,0.001,434058.7853,9634333.749,605046.5682,2607593.685,4069284.302
Spis_Protein9,A0A1B0Y777,887227.6606,2052067.851,4862530.637,2733627.535,802953.8696,7424802.456,73476.42293,7322406.388,78837.0393,8442502.067
Spis_Protein10,A0A1B0YB23,22459257.3,5503930.095,787445.5704,60983.92641,2630257.804,2200.447248,43269697.95,5245903.994,22896680.21,56780268.57
Spis_Protein11,A0A1B0YD48,9876059.864,476897.7301,6358024.951,975048.0687,698098.0824,2822896.595,2665932.822,29062.55824,735430.0233,832488.7639
Spis_Protein12,A0A2B4PVN0,553064.9926,826990.2285,79260.96406,80276.69783,76368.72801,4938.665897,42625.86725,4432.825399,40089.368,3324.70565
Spis_Protein13,A0A2B4Q245,6966.560783,383305.8295,382799.3359,4064.833367,3244.566547,69642.46397,77684.24738,2396.353622,26577.86808,8435.544448
Spis_Protein14,A0A2B4QF56,697.3356077,0.001,794779.7358,0.001,427035.3227,70526.92204,0.001,0.001,384778.8227,48265.63481
Spis_Protein15,A0A2B4QYE7,635655.9772,69962.82809,732722.4348,670024.44240000006,795023.64,8695962.059,755385.5278,9744842.95,705464.8937,9293968.91
Spis_Protein16,A0A2B4QZ69,429748.4344,0.822006833,769768.8728,392075.0991,77687.08665,538780.8565,57979.67021,6363.336744,0.362258053,409320.6303
Spis_Protein17,A0A2B4R010,3423944.075,380275.8478,75343.06863,599977.4823,504459.7261,255490.88,3550409.272,5286597.58,3079950.608,204734.7896
Spis_Protein18,A0A2B4R0A4,372504.3709,327396.5502,84276.92049,244498.6676,364804.0247,2303958.651,205396.2249,370456.5939,224245.2358,2200323.835
Spis_Protein19,A0A2B4R0Q0,34323.53022,85556.02931,28342.40231,78368.87631,2320.972459,95296.65536,942338.7408,347.0282093,259785.4054,743730.4059
Spis_Protein20,A0A2B4R134,238294.3299,328876.5065,2576770.274,2587472.377,2080486.002,988343.74,962997.4205,250994.0656,2386.375,282407.9867
Spis_Protein21,A0A2B4R188,0.607029869,340325.6576,35403.87236,52809.7475,28830.98344,26874.58504,0.985273704,30449.57283,0.433778227,337838.548
Spis_Protein22,A0A2B4R1C5,4394599.968,2734652.384,407423.8233,2472738.98,2565664.654,294322.0635,338064.6371,59697.4095,2546076.407,5224350.084
Spis_Protein23,A0A2B4R1D7,34249.67033,88775.2748,364497.5768,308985.736,839858.4567,578924.9527,928853.996,449439.4322,848884.945,69545.0221
Spis_Protein24,A0A2B4R1F9,2778278.533,2566509.4,2376728.705,4699475.858,34768.05344,23979.9875,326620.9078,3794344.285,328024.3855,3487442.37
Spis_Protein25,A0A2B4R1K0,0.001,0.001,0.001,600385.6368,0.001,379679.3265,0.001,680736.8083,580054.2247,27462.82758
Spis_Protein26,A0A2B4R1V4,28434233.23,439546.5026,7363343.838,44289.06405,9587846.084,845490.0569,777385.0567,22952628.89,395560.3999,24850055.84
Spis_Protein27,A0A2B4R236,8985698.938,7530890.426,533037.3244,2209268.484,658753.0407,4867048.523,647279.3674,33756.24629,2409776.798,9838904.777
Spis_Protein28,A0A2B4R2W0,28672.69725,250886.356,920700.8034,4987.45677,2389.242759,869648.029,72337.92956,834938.8662,2759353.494,238965.6974
Spis_Protein29,A0A2B4R395,7640442.894,20.45367,9072205.256,6036946.45,45972490.93,900097.8948,4248022.525,2464263.577,4485579.009,4909005.263
Spis_Protein30,A0A2B4R3A7,6540.068907,886963.0041,27966.87802,70447.3431,72683.72208,97497.32047,95809.9728,386746.8284,35952.27587,34839.40592
Spis_Protein31,A0A2B4R3C4,333606.2845,59889.37803,574750.37990000006,4236799.842,3086386.886,303492.5977,485746.7759,2979087.792,839928.4855,44669.9358
Spis_Protein32,A0A2B4R3D9,592928.8983,679699.24,6608779.605,409588.3784,4224433.29,30303.07474,5044204.367,307244.5736,4824736.553,3290735.493
Spis_Protein33,A0A2B4R3P9,6024282.277,6268799.209,546303.0346,8770757.51,9967355.02,582474.6893,4995670.902,308688.724,940466.7203,339070.8504
Spis_Protein34,A0A2B4R3S2,36549304.23,33273872.35,28642008.6,52086223,429846.2593,23623870.04,258396.9399,42500787.92,3787475.489,3597379.503
Spis_Protein35,A0A2B4R410,62594.09676,29808.07803,606658.6744,584580.2446,782947.5079,224436.7766,226796.3842,590279.7571,4047342.602,224384.4384
Spis_Protein36,A0A2B4R434,3848782.837,3755829.522,29998.36433,420672.3656,3554528.206,3698894.299,4070847.47,430590.7448,32435.3448,3725977.424
Spis_Protein37,A0A2B4R478,0.001,300765.6608,32502.32558,0.001,552278.756,337427.8823,299429.4058,0.001,0.001,3387.930947
Spis_Protein38,A0A2B4R493,2895397.505,280697266.5,2396738.573,735293.5986,29742039.83,6533645.076,73430620.8,227327754.5,87755783.34,9503044.394
Spis_Protein39,A0A2B4R4A3,39763.58708,22270.40667,54048.62874,524293.2928,5879.706449,257790.9366,2822.900381,98937.40526,300632.0766,82863.24484
Spis_Protein40,A0A2B4R4C2,885738.7465,99935.24207,6933722.875,940027.9942,5572786.384,6749.086559,4934375.359,688072.7546,457466.498,5805459.71
Spis_Protein41,A0A2B4R4E1,724760.2508,220038.7337,6047527.723,32797.58809,824766.8609,9532665.497,22344.75905,827787.4038,579640.5222,5732989.663
