"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0006259",5.96274259501267e-20,1,531,1042,"DNA metabolic process","BP"
"GO:0006260",1.0039417586734e-15,1,305,580,"DNA replication","BP"
"GO:0006278",2.79676374920241e-13,1,230,434,"RNA-templated DNA biosynthetic process","BP"
"GO:0015074",1.56793824419949e-12,1,148,259,"DNA integration","BP"
"GO:0032392",5.12556296888906e-08,0.999999988147214,46,64,"DNA geometric change","BP"
"GO:0071103",5.89308611239623e-08,0.999999982397874,61,90,"DNA conformation change","BP"
"GO:0090305",7.02711381419243e-08,1,201,412,"nucleic acid phosphodiester bond hydrolysis","BP"
"GO:0032508",9.15434462871238e-08,0.999999978422814,45,63,"DNA duplex unwinding","BP"
"GO:0090304",4.53457839369902e-07,0.999999796389216,1121,2712,"nucleic acid metabolic process","BP"
"GO:1903047",2.26764562298474e-06,0.99999881595818,250,516,"mitotic cell cycle process","BP"
"GO:0022402",5.11200681504798e-06,0.999996737769608,316,672,"cell cycle process","BP"
"GO:0007049",5.85665726533199e-06,0.99999654060748,261,550,"cell cycle","BP"
"GO:0016137",8.17120813308885e-06,0.9999986349937,25,32,"glycoside metabolic process","BP"
"GO:0016138",1.5635893386347e-05,0.999997298795606,24,31,"glycoside biosynthetic process","BP"
"GO:0006139",2.79384587952703e-05,0.999976554225494,1351,3324,"nucleobase-containing compound metabolic process","BP"
"GO:0010125",3.46804232317902e-05,0.999993716294717,23,30,"mycothiol biosynthetic process","BP"
"GO:0010126",3.46804232317902e-05,0.999993716294717,23,30,"mycothiol metabolic process","BP"
"GO:0032088",4.85453720166229e-05,0.9999772787305,69,125,"negative regulation of NF-kappaB transcription factor activity","BP"
"GO:1901222",4.87664904517872e-05,0.999983049446457,41,66,"regulation of NIK/NF-kappaB signaling","BP"
"GO:0006907",6.13813395928796e-05,0.99997669780327,46,76,"pinocytosis","BP"
"GO:0044351",6.13813395928796e-05,0.99997669780327,46,76,"macropinocytosis","BP"
"GO:0034641",7.53947232060582e-05,0.999935696211091,1439,3567,"cellular nitrogen compound metabolic process","BP"
"GO:0000075",9.30137530236742e-05,0.999963410149819,47,78,"cell cycle checkpoint signaling","BP"
"GO:1902692",9.72151987857595e-05,1,10,10,"regulation of neuroblast proliferation","BP"
"GO:0000280",0.000108074734037364,0.999931318884255,158,326,"nuclear division","BP"
"GO:0006725",0.00012713892766014,0.999891133688711,1398,3473,"cellular aromatic compound metabolic process","BP"
"GO:0090501",0.000151833306318514,0.99993380832938,52,92,"RNA phosphodiester bond hydrolysis","BP"
"GO:0046483",0.000152880506676697,0.999868882587624,1390,3454,"heterocycle metabolic process","BP"
"GO:0051301",0.000169759821557594,0.999889606405439,164,341,"cell division","BP"
"GO:0006270",0.000191648685789995,0.999983518161538,13,15,"DNA replication initiation","BP"
"GO:0045005",0.000204844330632821,0.999989918167343,11,12,"DNA-templated DNA replication maintenance of fidelity","BP"
"GO:0009128",0.00026882185462908,0.999828074467565,150,294,"purine nucleoside monophosphate catabolic process","BP"
"GO:0009158",0.00026882185462908,0.999828074467565,150,294,"ribonucleoside monophosphate catabolic process","BP"
"GO:0009169",0.00026882185462908,0.999828074467565,150,294,"purine ribonucleoside monophosphate catabolic process","BP"
"GO:0007250",0.000294433124143534,0.999908699102338,28,44,"activation of NF-kappaB-inducing kinase activity","BP"
"GO:0006310",0.000302501724588473,0.999806607220389,139,292,"DNA recombination","BP"
"GO:0009125",0.000316313191319307,0.99979658352789,150,295,"nucleoside monophosphate catabolic process","BP"
"GO:0006281",0.000328265144660924,0.999782479136786,164,340,"DNA repair","BP"
"GO:0043170",0.000429780749577345,0.999620825300927,2083,5280,"macromolecule metabolic process","BP"
"GO:0048285",0.000446399726703539,0.999701324367778,161,342,"organelle fission","BP"
