category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology
GO:0050789,1.27E-11,1,989,5318,regulation of biological process,BP
GO:0050794,2.83E-11,1,935,5006,regulation of cellular process,BP
GO:0051603,5.14E-11,1,78,238,proteolysis involved in protein catabolic process,BP
GO:0045184,1.92E-10,1,183,749,establishment of protein localization,BP
GO:0065007,1.99E-10,1,1035,5657,biological regulation,BP
GO:0051234,3.99E-10,1,486,2414,establishment of localization,BP
GO:0006810,1.28E-09,1,476,2376,transport,BP
GO:0071702,1.96E-09,1,237,1053,organic substance transport,BP
GO:0006511,3.33E-09,1,65,201,ubiquitin-dependent protein catabolic process,BP
GO:0015031,4.50E-09,1,172,722,protein transport,BP
GO:0019941,7.93E-09,1,65,205,modification-dependent protein catabolic process,BP
GO:0008150,1.13E-08,1,2130,12719,biological_process,BP
GO:0048522,1.94E-08,1,352,1722,positive regulation of cellular process,BP
GO:0019222,2.00E-08,1,592,3104,regulation of metabolic process,BP
GO:0044419,2.13E-08,0.999999992,60,187,biological process involved in interspecies interaction between organisms,BP
GO:0043632,2.23E-08,1,65,210,modification-dependent macromolecule catabolic process,BP
GO:0010608,4.03E-08,1,83,296,post-transcriptional regulation of gene expression,BP
GO:0023051,4.21E-08,1,266,1257,regulation of signaling,BP
GO:0031323,4.88E-08,1,534,2780,regulation of cellular metabolic process,BP
GO:0010604,5.38E-08,1,219,999,positive regulation of macromolecule metabolic process,BP
GO:0035556,6.25E-08,1,166,721,intracellular signal transduction,BP
GO:0010646,6.55E-08,1,266,1263,regulation of cell communication,BP
GO:0051246,6.96E-08,1,225,1037,regulation of protein metabolic process,BP
GO:0007165,9.37E-08,1,444,2276,signal transduction,BP
GO:0080090,1.01E-07,1,525,2745,regulation of primary metabolic process,BP
GO:0009966,1.04E-07,1,238,1116,regulation of signal transduction,BP
GO:0016032,1.19E-07,0.999999955,54,169,viral process,BP
GO:0032268,1.35E-07,1,188,843,regulation of cellular protein metabolic process,BP
GO:0044403,1.48E-07,0.999999943,54,170,biological process involved in symbiotic interaction,BP
GO:0044265,1.90E-07,1,96,370,cellular macromolecule catabolic process,BP
GO:0051649,2.12E-07,1,182,820,establishment of localization in cell,BP
GO:0031325,2.90E-07,1,222,1037,positive regulation of cellular metabolic process,BP
GO:0046907,2.96E-07,1,145,625,intracellular transport,BP
GO:0006446,3.46E-07,0.999999931,23,49,regulation of translational initiation,BP
GO:0006413,4.40E-07,0.999999902,25,56,translational initiation,BP
GO:0048518,5.69E-07,0.999999758,381,1939,positive regulation of biological process,BP
GO:0009893,7.63E-07,0.99999969,235,1115,positive regulation of metabolic process,BP
GO:0006417,1.37E-06,0.999999573,60,207,regulation of translation,BP
GO:0009057,1.49E-06,0.999999455,112,464,macromolecule catabolic process,BP
GO:0065009,1.78E-06,0.999999032,259,1265,regulation of molecular function,BP
GO:0010557,5.17E-06,0.999997142,132,578,positive regulation of macromolecule biosynthetic process,BP
