Geneid,Chr,Start,End,Strand,Length,DRR318288,DRR318289,DRR318290,DRR318291,DRR318292,DRR318293,DRR318294,DRR318295,DRR318296,DRR318297,DRR318298,DRR318299
aten_0.1.m1.1,Sc0000000,25096,50627,+,25532,5847,6303,7769,6909,5525,4451,5032,4322,7386,7556,9078,4515
aten_0.1.m1.2,Sc0000000,81121,84145,+,3025,473,534,614,578,204,202,241,225,334,334,279,235
aten_0.1.m1.3,Sc0000000,65760,67966,+,2207,1034,1090,1549,1300,668,677,679,523,944,889,995,743
aten_0.1.m1.4,Sc0000000,56342,58552,+,2211,658,673,737,596,408,496,409,368,628,628,664,409
aten_0.1.m1.5,Sc0000000,62171,63809,+,1639,1838,2255,2062,1758,1266,1450,1595,1223,1593,1447,1616,1207
aten_0.1.m1.6,Sc0000000,72064,82448,-,10385,1072,1333,1455,1491,1267,931,1088,1070,1078,1161,1174,984
aten_0.1.m1.7,Sc0000000,9811,21607,-,11797,10714,15270,14477,11977,7778,12096,12188,6020,52387,54194,61095,44895
aten_0.1.m1.8,Sc0000000,130509,138292,+,7784,2182,2523,2463,2676,1640,1736,1876,1537,2586,2718,2859,2213
aten_0.1.m1.9,Sc0000000,151813,156925,+,5113,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.10,Sc0000000,108486,117533,+,9048,560,545,567,358,345,514,444,352,832,1080,1040,575
aten_0.1.m1.12,Sc0000000,90566,108535,-,17970,3920,4490,5003,5682,3882,3672,4016,3195,5953,6299,6219,5609
aten_0.1.m1.13,Sc0000000,136103,160189,-,24087,2998,3385,3435,3805,2647,2696,2844,2244,4059,3841,4102,2897
aten_0.1.m1.14,Sc0000000,162410,164508,-,2099,0,2,4,5,3,2,0,2,1,12,4,0
aten_0.1.m1.15,Sc0000000,166656,176048,+,9393,220,175,324,415,161,141,175,142,1109,2050,1315,1195
aten_0.1.m1.16,Sc0000000,203079,216093,+,13015,753,957,1107,1270,572,421,610,614,1642,1752,1991,1701
aten_0.1.m1.17,Sc0000000,218712,229354,+,10643,2192,2384,2418,2606,1245,1226,1340,1198,2011,1904,2191,1485
aten_0.1.m1.18,Sc0000000,236781,255123,+,18343,8280,10302,9069,9288,10081,9715,9161,8351,17351,18075,20335,16823
aten_0.1.m1.19,Sc0000000,260137,274153,+,14017,4801,5300,6947,5553,3453,3471,3471,2820,2078,1329,1852,1082
aten_0.1.m1.20,Sc0000000,255186,259271,+,4086,105,72,87,183,250,122,148,178,232,190,248,147
aten_0.1.m1.21,Sc0000000,217115,218504,-,1390,310,331,387,378,228,216,288,177,339,219,326,225
aten_0.1.m1.22,Sc0000000,229351,233097,-,3747,40,23,34,17,15,16,14,8,102,125,155,46
aten_0.1.m1.24,Sc0000000,180652,191625,-,10974,2524,2819,2824,2714,1571,1949,1942,1629,4903,5255,4097,4024
