Orthogroup	Montipora_gene	Pocillopora_gene	Spis_gene
OG0000919	Montipora_capitata_HIv3___RNAseq.g32519.t2	Pocillopora_acuta_HIv2___RNAseq.g19034.t4	Spis8363.t1
OG0000959	Montipora_capitata_HIv3___RNAseq.g10744.t1	Pocillopora_acuta_HIv2___RNAseq.g15792.t1	Spis12087
OG0000987	Montipora_capitata_HIv3___RNAseq.g7362.t1	Pocillopora_acuta_HIv2___RNAseq.g7723.t1	Spis20042
OG0001195	Montipora_capitata_HIv3___TS.g4504.t1	Pocillopora_acuta_HIv2___RNAseq.g2705.t1	Spis20880
OG0001270	Montipora_capitata_HIv3___TS.g7973.t2	Pocillopora_acuta_HIv2___RNAseq.g9921.t1	Spis3932.t2
OG0001289	Montipora_capitata_HIv3___RNAseq.g48131.t1	Pocillopora_acuta_HIv2___RNAseq.g4719.t1	Spis12448
OG0001294	Montipora_capitata_HIv3___RNAseq.g37108.t1	Pocillopora_acuta_HIv2___RNAseq.g17560.t1	Spis19878
OG0001304	Montipora_capitata_HIv3___RNAseq.g49409.t1	Pocillopora_acuta_HIv2___RNAseq.g25935.t1	Spis12423
OG0001321	Montipora_capitata_HIv3___RNAseq.g45124.t1	Pocillopora_acuta_HIv2___RNAseq.g1102.t1	Spis13278
OG0001332	Montipora_capitata_HIv3___TS.g41017.t3	Pocillopora_acuta_HIv2___RNAseq.g13397.t5	Spis4671.t2
OG0001363	Montipora_capitata_HIv3___RNAseq.g1197.t1	Pocillopora_acuta_HIv2___TS.g1657.t3	Spis6941.t1
OG0001390	Montipora_capitata_HIv3___RNAseq.g16464.t1	Pocillopora_acuta_HIv2___RNAseq.g6548.t2	Spis5788
OG0001391	Montipora_capitata_HIv3___RNAseq.g45319.t1	Pocillopora_acuta_HIv2___TS.g27802.t1b	Spis9822
OG0001395	Montipora_capitata_HIv3___RNAseq.g29616.t3	Pocillopora_acuta_HIv2___TS.g31054.t1	Spis15109.t1
OG0001426	Montipora_capitata_HIv3___RNAseq.g12091.t1	Pocillopora_acuta_HIv2___RNAseq.g26391.t1	Spis15158
OG0001466	Montipora_capitata_HIv3___RNAseq.g14674.t1	Pocillopora_acuta_HIv2___RNAseq.g25481.t1	Spis18602.t1
OG0001479	Montipora_capitata_HIv3___TS.g32415.t6	Pocillopora_acuta_HIv2___RNAseq.g6177.t1	Spis20233.t1
OG0001516	Montipora_capitata_HIv3___RNAseq.g20728.t2	Pocillopora_acuta_HIv2___RNAseq.g11005.t1	Spis19214.t1
OG0001581	Montipora_capitata_HIv3___TS.g33140.t1	Pocillopora_acuta_HIv2___TS.g29359.t1	Spis15657.t1
OG0001636	Montipora_capitata_HIv3___RNAseq.g45279.t1	Pocillopora_acuta_HIv2___TS.g4006.t2c	Spis13150
OG0001648	Montipora_capitata_HIv3___RNAseq.g19563.t1	Pocillopora_acuta_HIv2___RNAseq.g11211.t1	Spis3093
OG0001661	Montipora_capitata_HIv3___RNAseq.g12804.t1	Pocillopora_acuta_HIv2___TS.g21126.t2	Spis2372
OG0001720	Montipora_capitata_HIv3___RNAseq.g553.t1	Pocillopora_acuta_HIv2___RNAseq.g26279.t1	Spis16230.t1
OG0001730	Montipora_capitata_HIv3___RNAseq.g20720.t1	Pocillopora_acuta_HIv2___RNAseq.g26112.t1a	Spis1578
OG0001781	Montipora_capitata_HIv3___TS.g50641.t3	Pocillopora_acuta_HIv2___RNAseq.g14714.t2	Spis3408.t1
OG0001784	Montipora_capitata_HIv3___RNAseq.g42217.t1	Pocillopora_acuta_HIv2___RNAseq.g12944.t1	Spis8758
OG0001796	Montipora_capitata_HIv3___RNAseq.g7286.t1	Pocillopora_acuta_HIv2___RNAseq.g15165.t1	Spis15335
OG0001809	Montipora_capitata_HIv3___TS.g46502.t3b	Pocillopora_acuta_HIv2___RNAseq.g15498.t1	Spis9284
OG0001810	Montipora_capitata_HIv3___RNAseq.g44126.t1	Pocillopora_acuta_HIv2___RNAseq.g14742.t1	Spis3385.t1
OG0001825	Montipora_capitata_HIv3___RNAseq.g41327.t1	Pocillopora_acuta_HIv2___TS.g15255.t2	Spis12173.t3
OG0001838	Montipora_capitata_HIv3___RNAseq.g9754.t1	Pocillopora_acuta_HIv2___RNAseq.g12035.t1b	Spis12479.t3
OG0001839	Montipora_capitata_HIv3___RNAseq.g8760.t1	Pocillopora_acuta_HIv2___RNAseq.g16094.t1	Spis9740
OG0001841	Montipora_capitata_HIv3___RNAseq.g8536.t1	Pocillopora_acuta_HIv2___RNAseq.g4818.t1	Spis9437
OG0001842	Montipora_capitata_HIv3___TS.g8451.t1	Pocillopora_acuta_HIv2___TS.g10888.t1	Spis10732.t1
OG0001855	Montipora_capitata_HIv3___TS.g20703.t2	Pocillopora_acuta_HIv2___TS.g21285.t2	Spis5868.t2
OG0001858	Montipora_capitata_HIv3___RNAseq.g44292.t1	Pocillopora_acuta_HIv2___RNAseq.g24044.t2	Spis122
OG0001865	Montipora_capitata_HIv3___RNAseq.g7150.t1	Pocillopora_acuta_HIv2___RNAseq.g20822.t1	Spis5068
OG0001866	Montipora_capitata_HIv3___RNAseq.g22611.t4	Pocillopora_acuta_HIv2___RNAseq.g10169.t1	Spis4884
OG0001868	Montipora_capitata_HIv3___RNAseq.g35285.t1	Pocillopora_acuta_HIv2___RNAseq.g22946.t1	Spis17413
OG0001873	Montipora_capitata_HIv3___RNAseq.g46133.t1	Pocillopora_acuta_HIv2___RNAseq.g4985.t2	Spis17696
OG0001895	Montipora_capitata_HIv3___RNAseq.g26722.t1	Pocillopora_acuta_HIv2___RNAseq.g29901.t1	Spis12813
OG0001905	Montipora_capitata_HIv3___TS.g1239.t1	Pocillopora_acuta_HIv2___TS.g8286.t1	Spis25897.Novel
