Orthogroup	Montipora_gene	Pocillopora_gene	Spis_gene
OG0000377	Montipora_capitata_HIv3___RNAseq.g20410.t1	Pocillopora_acuta_HIv2___RNAseq.g28273.t1	Spis7210.t1
OG0000603	Montipora_capitata_HIv3___RNAseq.g11843.t1	Pocillopora_acuta_HIv2___RNAseq.g16942.t1	Spis15789
OG0000631	Montipora_capitata_HIv3___TS.g7973.t2	Pocillopora_acuta_HIv2___RNAseq.g9921.t1	Spis3932.t2
OG0000645	Montipora_capitata_HIv3___RNAseq.g44292.t1	Pocillopora_acuta_HIv2___RNAseq.g24044.t2	Spis122
OG0000656	Montipora_capitata_HIv3___RNAseq.g18424.t1	Pocillopora_acuta_HIv2___RNAseq.g21359.t2	Spis16708
OG0000674	Montipora_capitata_HIv3___RNAseq.g39012.t1	Pocillopora_acuta_HIv2___RNAseq.g6094.t2	Spis14687
OG0000675	Montipora_capitata_HIv3___TS.g32320.t3	Pocillopora_acuta_HIv2___RNAseq.g6155.t2	Spis12572
OG0000719	Montipora_capitata_HIv3___TS.g41017.t3	Pocillopora_acuta_HIv2___RNAseq.g13397.t5	Spis4671.t2
OG0000804	Montipora_capitata_HIv3___RNAseq.g11110.t1	Pocillopora_acuta_HIv2___RNAseq.g26375.t1	Spis16852
OG0000836	Montipora_capitata_HIv3___RNAseq.g29598.t1	Pocillopora_acuta_HIv2___TS.g4805.t1	Spis6388
OG0000850	Montipora_capitata_HIv3___RNAseq.g26689.t1	Pocillopora_acuta_HIv2___RNAseq.g29967.t1	Spis812
OG0000880	Montipora_capitata_HIv3___TS.g50848.t1	Pocillopora_acuta_HIv2___RNAseq.g24073.t1	Spis141.t1
OG0000889	Montipora_capitata_HIv3___TS.g12380.t4	Pocillopora_acuta_HIv2___RNAseq.g27126.t1	Spis8221.t2
OG0000901	Montipora_capitata_HIv3___RNAseq.g39879.t1	Pocillopora_acuta_HIv2___RNAseq.g6308.t1	Spis7105
OG0000905	Montipora_capitata_HIv3___TS.g41002.t2	Pocillopora_acuta_HIv2___RNAseq.g13457.t1	Spis4729
OG0000906	Montipora_capitata_HIv3___RNAseq.g28099.t1	Pocillopora_acuta_HIv2___TS.g13206.t1	Spis2965
OG0000931	Montipora_capitata_HIv3___TS.g26755.t2	Pocillopora_acuta_HIv2___RNAseq.g1629.t1a	Spis9601.t1
OG0000943	Montipora_capitata_HIv3___RNAseq.g3147.t1	Pocillopora_acuta_HIv2___RNAseq.g1321.t1	Spis1304.t1
OG0000946	Montipora_capitata_HIv3___RNAseq.g12092.t1	Pocillopora_acuta_HIv2___RNAseq.g26392.t1	Spis15159
OG0000983	Montipora_capitata_HIv3___TS.g13785.t2	Pocillopora_acuta_HIv2___RNAseq.g21425.t1	Spis10248
OG0000998	Montipora_capitata_HIv3___RNAseq.g19385.t2	Pocillopora_acuta_HIv2___RNAseq.g11346.t1	Spis16033.t1
OG0001004	Montipora_capitata_HIv3___TS.g46405.t2	Pocillopora_acuta_HIv2___RNAseq.g592.t1	Spis10136
OG0001029	Montipora_capitata_HIv3___TS.g46447.t1	Pocillopora_acuta_HIv2___TS.g4022.t1a	Spis13169.t1
OG0001035	Montipora_capitata_HIv3___RNAseq.g50121.t1a	Pocillopora_acuta_HIv2___TS.g9396.t2	Spis4649
OG0001053	Montipora_capitata_HIv3___RNAseq.g20760.t1b	Pocillopora_acuta_HIv2___TS.g29242.t2	Spis17724.t1
OG0001087	Montipora_capitata_HIv3___RNAseq.g3373.t1	Pocillopora_acuta_HIv2___TS.g19794.t2	Spis6610
OG0001093	Montipora_capitata_HIv3___TS.g32457.t2	Pocillopora_acuta_HIv2___RNAseq.g6215.t1	Spis17862
OG0001103	Montipora_capitata_HIv3___RNAseq.g26183.t1	Pocillopora_acuta_HIv2___RNAseq.g29788.t1	Spis766
OG0001129	Montipora_capitata_HIv3___RNAseq.g18526.t1	Pocillopora_acuta_HIv2___TS.g2317.t1	Spis10245
OG0001130	Montipora_capitata_HIv3___TS.g41467.t3	Pocillopora_acuta_HIv2___RNAseq.g16309.t1	Spis6740
OG0001140	Montipora_capitata_HIv3___RNAseq.g19476.t1	Pocillopora_acuta_HIv2___RNAseq.g11227.t1	Spis3082.t1
OG0001168	Montipora_capitata_HIv3___RNAseq.g41666.t1	Pocillopora_acuta_HIv2___TS.g15909.t2	Spis5478
OG0001172	Montipora_capitata_HIv3___TS.g16914.t1	Pocillopora_acuta_HIv2___TS.g5010.t1a	Spis22711
OG0001179	Montipora_capitata_HIv3___RNAseq.g41156.t1	Pocillopora_acuta_HIv2___RNAseq.g18726.t1	Spis273
OG0001181	Montipora_capitata_HIv3___RNAseq.g35292.t1	Pocillopora_acuta_HIv2___RNAseq.g22965.t1	Spis10944
OG0001192	Montipora_capitata_HIv3___RNAseq.g19384.t1	Pocillopora_acuta_HIv2___RNAseq.g11345.t1	Spis16032
OG0001200	Montipora_capitata_HIv3___RNAseq.g20769.t1	Pocillopora_acuta_HIv2___RNAseq.g11076.t1	Spis17732
OG0001227	Montipora_capitata_HIv3___RNAseq.g957.t1	Pocillopora_acuta_HIv2___RNAseq.g3598.t1	Spis8336
OG0001230	Montipora_capitata_HIv3___TS.g9779.t2	Pocillopora_acuta_HIv2___TS.g10337.t2	Spis8257.t1
OG0001232	Montipora_capitata_HIv3___RNAseq.g9807.t2	Pocillopora_acuta_HIv2___TS.g30420.t3	Spis16597.t1
OG0001250	Montipora_capitata_HIv3___TS.g29121.t1	Pocillopora_acuta_HIv2___RNAseq.g7683.t1	Spis3298
OG0001258	Montipora_capitata_HIv3___RNAseq.g47924.t1	Pocillopora_acuta_HIv2___RNAseq.g8093.t1	Spis3761
OG0001280	Montipora_capitata_HIv3___RNAseq.g20166.t1	Pocillopora_acuta_HIv2___RNAseq.g4095.t1	Spis19434
OG0001288	Montipora_capitata_HIv3___RNAseq.g19289.t1	Pocillopora_acuta_HIv2___RNAseq.g28495.t1	Spis20617.t1
OG0001298	Montipora_capitata_HIv3___RNAseq.g41400.t2	Pocillopora_acuta_HIv2___RNAseq.g12709.t2	Spis9686
OG0001310	Montipora_capitata_HIv3___TS.g5067.t3	Pocillopora_acuta_HIv2___RNAseq.g22780.t2	Spis1534
OG0001311	Montipora_capitata_HIv3___RNAseq.g39642.t1	Pocillopora_acuta_HIv2___RNAseq.g6153.t1	Spis12569
OG0001326	Montipora_capitata_HIv3___RNAseq.g44781.t2	Pocillopora_acuta_HIv2___RNAseq.g3081.t1	Spis16267
OG0001327	Montipora_capitata_HIv3___RNAseq.g584.t2	Pocillopora_acuta_HIv2___TS.g25171.t1	Spis19533
OG0001344	Montipora_capitata_HIv3___TS.g9895.t1	Pocillopora_acuta_HIv2___RNAseq.g27482.t1	Spis18834
OG0001345	Montipora_capitata_HIv3___RNAseq.10384_t	Pocillopora_acuta_HIv2___RNAseq.g28750.t1	Spis2715
OG0001358	Montipora_capitata_HIv3___TS.g49540.t1	Pocillopora_acuta_HIv2___RNAseq.g8229.t1	Spis646
OG0001362	Montipora_capitata_HIv3___RNAseq.g19434.t1	Pocillopora_acuta_HIv2___TS.g29308.t1	Spis20253
