gene_id,average_length
aten_0.1.m1.1,4878
aten_0.1.m1.10,867
aten_0.1.m1.1000,840
aten_0.1.m1.10000,10576
aten_0.1.m1.10001,465
aten_0.1.m1.10002,1176
aten_0.1.m1.10003,1272
aten_0.1.m1.10004,1822
aten_0.1.m1.10005,10756
aten_0.1.m1.10006,3987
aten_0.1.m1.10007,2257
aten_0.1.m1.10008,3438
aten_0.1.m1.10009,1897
aten_0.1.m1.1001,603
aten_0.1.m1.10010,1400
aten_0.1.m1.10011,2046
aten_0.1.m1.10012,7209
aten_0.1.m1.10013,1518
aten_0.1.m1.10014,963
aten_0.1.m1.10015,1835
aten_0.1.m1.10016,6825
aten_0.1.m1.10017,5173
aten_0.1.m1.10018,1128
aten_0.1.m1.10019,1591
aten_0.1.m1.1002,2385
aten_0.1.m1.10020,900
aten_0.1.m1.10022,1491
aten_0.1.m1.10023,622
aten_0.1.m1.10024,3837
aten_0.1.m1.10025,938
aten_0.1.m1.10026,4237
aten_0.1.m1.10027,1709
aten_0.1.m1.10028,5880
aten_0.1.m1.1003,1410
aten_0.1.m1.10030,4366
aten_0.1.m1.10031,2598
aten_0.1.m1.10032,804
aten_0.1.m1.10034,3869
aten_0.1.m1.10035,1766
aten_0.1.m1.10036,4456
aten_0.1.m1.10037,3126
aten_0.1.m1.10038,719
aten_0.1.m1.10039,2039
aten_0.1.m1.1004,562
aten_0.1.m1.10040,2405
aten_0.1.m1.10042,1219
aten_0.1.m1.10044,930
aten_0.1.m1.10045,3695
aten_0.1.m1.10046,1272
aten_0.1.m1.1005,1691
aten_0.1.m1.10050,1299
aten_0.1.m1.10052,2528
aten_0.1.m1.10053,717
aten_0.1.m1.10055,684
aten_0.1.m1.10056,2832
aten_0.1.m1.10058,2659
aten_0.1.m1.1006,3204
aten_0.1.m1.10060,10265
aten_0.1.m1.10061,4238
aten_0.1.m1.10062,6096
aten_0.1.m1.10063,3017
aten_0.1.m1.10065,3665
aten_0.1.m1.10066,4208
aten_0.1.m1.10067,3292
aten_0.1.m1.10068,7489
aten_0.1.m1.1007,3015
aten_0.1.m1.10070,3350
aten_0.1.m1.10071,2690
aten_0.1.m1.10072,2679
aten_0.1.m1.10073,1891
aten_0.1.m1.10074,409
aten_0.1.m1.10075,6493
aten_0.1.m1.10076,1741
aten_0.1.m1.10078,3127
aten_0.1.m1.10079,2273
aten_0.1.m1.1008,8567
aten_0.1.m1.10080,1035
aten_0.1.m1.10083,3080
aten_0.1.m1.10084,2661
aten_0.1.m1.10085,1641
aten_0.1.m1.10087,1383
aten_0.1.m1.10088,3552
aten_0.1.m1.10089,1740
aten_0.1.m1.1009,4733
aten_0.1.m1.10090,4510
aten_0.1.m1.10091,954
aten_0.1.m1.10092,2787
aten_0.1.m1.10093,860
aten_0.1.m1.10094,582
aten_0.1.m1.10095,4296
aten_0.1.m1.10096,1342
aten_0.1.m1.10097,1211
aten_0.1.m1.10098,1230
aten_0.1.m1.10099,2728
aten_0.1.m1.1010,3501
aten_0.1.m1.10100,3680
aten_0.1.m1.10101,2267
aten_0.1.m1.10102,2877
aten_0.1.m1.10103,1634
aten_0.1.m1.10104,5876
aten_0.1.m1.10105,8213
aten_0.1.m1.10106,6727
aten_0.1.m1.10107,838
aten_0.1.m1.10108,2490
aten_0.1.m1.10109,2834
aten_0.1.m1.1011,3084
aten_0.1.m1.10110,2547
aten_0.1.m1.10111,3960
aten_0.1.m1.10112,2554
aten_0.1.m1.10113,2152
aten_0.1.m1.10114,1449
aten_0.1.m1.10115,2942
aten_0.1.m1.10116,927
aten_0.1.m1.10117,2845
aten_0.1.m1.10120,2131
aten_0.1.m1.10121,1575
aten_0.1.m1.10122,582
aten_0.1.m1.10124,1999
aten_0.1.m1.10125,5777
aten_0.1.m1.10127,663
aten_0.1.m1.10128,1520
aten_0.1.m1.10129,2830
aten_0.1.m1.1013,7774
aten_0.1.m1.10130,3486
aten_0.1.m1.10131,975
