Unique_ID,Protein.Accession,Gene,Protein.Full.Name,Entry,Entry.name,Status,Protein.names,Gene.names,Organism,Gene.ontology.GO,Gene.ontology.IDs,ID,Protein.Accession1
Spis_Protein1,A0A059U7T2,NA,Beta-tubulin (Fragment),A0A059U7T2,A0A059U7T2_STYPI,unreviewed,Beta-tubulin (Fragment),#N/A,Stylophora pistillata (Smooth cauliflower coral),microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; microtubule-based process [GO:0007017],GO:0003924; GO:0005525; GO:0005874; GO:0007017,A0A059U7T2,A0A059U7T2
Spis_Protein2,A0A059UGC1|A0A059UGU6|A0A342YVI2|B5L5L5|B5MFS3,||CYTB|CYTB|Cytb,Cytochrome b (Fragment)|Cytochrome b,A0A059UGC1|A0A342YVI2,A0A059UGC1_STYPI,unreviewed,Complex III subunit 3 (Complex III subunit III) (Cytochrome b) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit) (Fragment),NA,Stylophora pistillata (Smooth cauliflower coral),integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]; electron transfer activity [GO:0009055]; respiratory electron transport chain [GO:0022904]; respiratory chain complex III [GO:0045275]; metal ion binding [GO:0046872]; ubiquinol-cytochrome-c reductase activity [GO:0008121],GO:0005743; GO:0009055; GO:0016021; GO:0022904; GO:0070469; GO:0008121; GO:0045275; GO:0046872,A0A059UGC1,A0A059UGC1
Spis_Protein3,A0A0G2SJD9,SLC4delta,Anion exchange protein,A0A0G2SJD9,A0A0G2SJD9_STYPI,unreviewed,Anion exchange protein,SLC4delta,Stylophora pistillata (Smooth cauliflower coral),integral component of membrane [GO:0016021]; inorganic anion exchanger activity [GO:0005452],GO:0005452; GO:0016021,A0A0G2SJD9,A0A0G2SJD9
Spis_Protein4,A0A0G2SJL4|A0A2B4SEX6,SLC4gamma|SLC4A2,Anion exchange protein,A0A0G2SJL4,A0A0G2SJL4_STYPI,unreviewed,Anion exchange protein,SLC4gamma,Stylophora pistillata (Smooth cauliflower coral),integral component of membrane [GO:0016021]; anion:anion antiporter activity [GO:0015301]; inorganic anion exchanger activity [GO:0005452],GO:0005452; GO:0015301; GO:0016021,A0A0G2SJL4,A0A0G2SJL4
Spis_Protein5,A0A0G2SJL5,SLC26gamma,Solute carrier family 26 member gamma,A0A0G2SJL5,A0A0G2SJL5_STYPI,unreviewed,Solute carrier family 26 member gamma,SLC26gamma,Stylophora pistillata (Smooth cauliflower coral),integral component of membrane [GO:0016021]; secondary active sulfate transmembrane transporter activity [GO:0008271],GO:0008271; GO:0016021,A0A0G2SJL5,A0A0G2SJL5
Spis_Protein6,A0A1B0Y2D9,CA11,Alpha carbonic anhydrase 11,A0A1B0Y2D9,A0A1B0Y2D9_STYPI,unreviewed,Alpha carbonic anhydrase 11 (EC 4.2.1.1) (Carbonic anhydrase 1),CA11 Ca1 AWC38_SpisGene18546,Stylophora pistillata (Smooth cauliflower coral),carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270],GO:0004089; GO:0008270,A0A1B0Y2D9,A0A1B0Y2D9
Spis_Protein7,A0A1B0Y357|A0A2B4S3Q4,CA3|ca2,Alpha carbonic anhydrase 3|Carbonic anhydrase 2,A0A1B0Y357,A0A1B0Y357_STYPI,unreviewed,Carbonic anhydrase (EC 4.2.1.1),CA3,Stylophora pistillata (Smooth cauliflower coral),carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270],GO:0004089; GO:0008270,A0A1B0Y357,A0A1B0Y357
Spis_Protein8,A0A1B0Y5H1|A0A2B4RB23,CA6|CA12,Alpha carbonic anhydrase 6|Carbonic anhydrase 12,A0A1B0Y5H1,A0A1B0Y5H1_STYPI,unreviewed,Carbonic anhydrase (EC 4.2.1.1),CA6,Stylophora pistillata (Smooth cauliflower coral),carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270],GO:0004089; GO:0008270,A0A1B0Y5H1,A0A1B0Y5H1
Spis_Protein9,A0A1B0Y777,CA8,Alpha carbonic anhydrase 8,A0A1B0Y777,A0A1B0Y777_STYPI,unreviewed,Carbonic anhydrase (EC 4.2.1.1),CA8,Stylophora pistillata (Smooth cauliflower coral),carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270],GO:0004089; GO:0008270,A0A1B0Y777,A0A1B0Y777
Spis_Protein10,A0A1B0YB23,CA4,Alpha carbonic anhydrase 4 (Fragment),A0A1B0YB23,A0A1B0YB23_STYPI,unreviewed,Carbonic anhydrase (EC 4.2.1.1) (Fragment),CA4,Stylophora pistillata (Smooth cauliflower coral),carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270],GO:0004089; GO:0008270,A0A1B0YB23,A0A1B0YB23
Spis_Protein11,A0A1B0YD48,CA15,Alpha carbonic anhydrase 15,A0A1B0YD48,A0A1B0YD48_STYPI,unreviewed,Carbonic anhydrase (EC 4.2.1.1),CA15 CA1 AWC38_SpisGene754,Stylophora pistillata (Smooth cauliflower coral),carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270],GO:0004089; GO:0008270,A0A1B0YD48,A0A1B0YD48
Spis_Protein12,A0A2B4PVN0,CCDC19,"Coiled-coil domain-containing protein 19, mitochondrial (Fragment)",A0A2B4PVN0,A0A2B4PVN0_STYPI,unreviewed,"Coiled-coil domain-containing protein 19, mitochondrial (Fragment)",CCDC19 AWC38_SpisGene25679,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4PVN0,A0A2B4PVN0
Spis_Protein13,A0A2B4Q245,Katnal1,Katanin p60 ATPase-containing subunit A-like 1 (Fragment),A0A2B4Q245,A0A2B4Q245_STYPI,unreviewed,Katanin p60 ATPase-containing subunit A-like 1 (Fragment),Katnal1 AWC38_SpisGene25689,Stylophora pistillata (Smooth cauliflower coral),ATP binding [GO:0005524],GO:0005524,A0A2B4Q245,A0A2B4Q245
Spis_Protein14,A0A2B4QF56,PDIK1L,Serine/threonine-protein kinase PDIK1L (Fragment),A0A2B4QF56,A0A2B4QF56_STYPI,unreviewed,Serine/threonine-protein kinase PDIK1L (Fragment),PDIK1L AWC38_SpisGene25657,Stylophora pistillata (Smooth cauliflower coral),ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674],GO:0004674; GO:0005524,A0A2B4QF56,A0A2B4QF56
Spis_Protein15,A0A2B4QYE7,AWC38_SpisGene25096,Allene oxide synthase-lipoxygenase protein (Fragment),A0A2B4QYE7,A0A2B4QYE7_STYPI,unreviewed,Allene oxide synthase-lipoxygenase protein (Fragment),AWC38_SpisGene25096,Stylophora pistillata (Smooth cauliflower coral),"metal ion binding [GO:0046872]; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [GO:0016702]",GO:0016702; GO:0046872,A0A2B4QYE7,A0A2B4QYE7
Spis_Protein16,A0A2B4QZ69,psuK,Pseudouridine kinase (Fragment),A0A2B4QZ69,A0A2B4QZ69_STYPI,unreviewed,Pseudouridine kinase (Fragment),psuK AWC38_SpisGene24718,Stylophora pistillata (Smooth cauliflower coral),"kinase activity [GO:0016301]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]",GO:0016301; GO:0016773,A0A2B4QZ69,A0A2B4QZ69
Spis_Protein17,A0A2B4R010,Hmcn2,Hemicentin-2,A0A2B4R010,A0A2B4R010_STYPI,unreviewed,Hemicentin-2,Hmcn2 AWC38_SpisGene24410,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4R010,A0A2B4R010
Spis_Protein18,A0A2B4R0A4,cops5,COP9 signalosome complex subunit 5 (Fragment),A0A2B4R0A4,A0A2B4R0A4_STYPI,unreviewed,COP9 signalosome complex subunit 5 (Fragment),cops5 AWC38_SpisGene25359,Stylophora pistillata (Smooth cauliflower coral),COP9 signalosome [GO:0008180]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222],GO:0004222; GO:0008180; GO:0046872,A0A2B4R0A4,A0A2B4R0A4
Spis_Protein19,A0A2B4R0Q0,MARCO,Macrophage receptor MARCO (Fragment),A0A2B4R0Q0,A0A2B4R0Q0_STYPI,unreviewed,Macrophage receptor MARCO (Fragment),MARCO AWC38_SpisGene24139,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4R0Q0,A0A2B4R0Q0
Spis_Protein20,A0A2B4R134,SART1,U4/U6.U5 tri-snRNP-associated protein 1 (Fragment),A0A2B4R134,A0A2B4R134_STYPI,unreviewed,U4/U6.U5 tri-snRNP-associated protein 1 (Fragment),SART1 AWC38_SpisGene24937,Stylophora pistillata (Smooth cauliflower coral),"nucleus [GO:0005634]; mRNA splicing, via spliceosome [GO:0000398]",GO:0000398; GO:0005634,A0A2B4R134,A0A2B4R134
Spis_Protein21,A0A2B4R188,SLC25A17,Peroxisomal membrane protein PMP34,A0A2B4R188,A0A2B4R188_STYPI,unreviewed,Peroxisomal membrane protein PMP34,SLC25A17 AWC38_SpisGene24855,Stylophora pistillata (Smooth cauliflower coral),integral component of membrane [GO:0016021],GO:0016021,A0A2B4R188,A0A2B4R188
Spis_Protein22,A0A2B4R1C5,AWC38_SpisGene25559,Uncharacterized protein (Fragment),A0A2B4R1C5,A0A2B4R1C5_STYPI,unreviewed,Uncharacterized protein (Fragment),AWC38_SpisGene25559,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4R1C5,A0A2B4R1C5
Spis_Protein23,A0A2B4R1D7,Trim3,Tripartite motif-containing protein 3 (Fragment),A0A2B4R1D7,A0A2B4R1D7_STYPI,unreviewed,Tripartite motif-containing protein 3 (Fragment),Trim3 AWC38_SpisGene25549,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4R1D7,A0A2B4R1D7
Spis_Protein24,A0A2B4R1F9,PRKD1,Serine/threonine-protein kinase D1 (Fragment),A0A2B4R1F9,A0A2B4R1F9_STYPI,unreviewed,Protein kinase C (EC 2.7.11.13) (Fragment),PRKD1 AWC38_SpisGene23876,Stylophora pistillata (Smooth cauliflower coral),membrane [GO:0016020]; ATP binding [GO:0005524]; calcium-dependent protein kinase C activity [GO:0004698]; intracellular signal transduction [GO:0035556],GO:0004698; GO:0005524; GO:0016020; GO:0035556,A0A2B4R1F9,A0A2B4R1F9
Spis_Protein25,A0A2B4R1K0,TTC28,Tetratricopeptide repeat protein 28 (Fragment),A0A2B4R1K0,A0A2B4R1K0_STYPI,unreviewed,Tetratricopeptide repeat protein 28 (Fragment),TTC28 AWC38_SpisGene25445,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4R1K0,A0A2B4R1K0
Spis_Protein26,A0A2B4R1V4,atpB,"ATP synthase subunit beta, chloroplastic",A0A2B4R1V4,A0A2B4R1V4_STYPI,unreviewed,"ATP synthase subunit beta, chloroplastic",atpB AWC38_SpisGene24557,Stylophora pistillata (Smooth cauliflower coral),ATP binding [GO:0005524],GO:0005524,A0A2B4R1V4,A0A2B4R1V4
Spis_Protein27,A0A2B4R236,AWC38_SpisGene23633,Uncharacterized protein,A0A2B4R236,A0A2B4R236_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene23633,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4R236,A0A2B4R236
Spis_Protein28,A0A2B4R2W0,AWC38_SpisGene25326,Eukaryotic translation initiation factor 3 subunit A (Fragment),A0A2B4R2W0,A0A2B4R2W0_STYPI,unreviewed,Eukaryotic translation initiation factor 3 subunit A (Fragment),AWC38_SpisGene25326,Stylophora pistillata (Smooth cauliflower coral),eukaryotic translation initiation factor 3 complex [GO:0005852]; translation initiation factor activity [GO:0003743],GO:0003743; GO:0005852,A0A2B4R2W0,A0A2B4R2W0
Spis_Protein29,A0A2B4R395,olpB,Cell surface glycoprotein 1,A0A2B4R395,A0A2B4R395_STYPI,unreviewed,Cell surface glycoprotein 1,olpB AWC38_SpisGene24003,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4R395,A0A2B4R395
Spis_Protein30,A0A2B4R3A7,Znfx1,NFX1-type zinc finger-containing protein 1 (Fragment),A0A2B4R3A7,A0A2B4R3A7_STYPI,unreviewed,NFX1-type zinc finger-containing protein 1 (Fragment),Znfx1 AWC38_SpisGene23155,Stylophora pistillata (Smooth cauliflower coral),nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; zinc ion binding [GO:0008270],GO:0003700; GO:0005634; GO:0008270,A0A2B4R3A7,A0A2B4R3A7
Spis_Protein31,A0A2B4R3C4,Ttc38,Tetratricopeptide repeat protein 38 (Fragment),A0A2B4R3C4,A0A2B4R3C4_STYPI,unreviewed,Tetratricopeptide repeat protein 38 (Fragment),Ttc38 AWC38_SpisGene23972,Stylophora pistillata (Smooth cauliflower coral),zinc ion binding [GO:0008270],GO:0008270,A0A2B4R3C4,A0A2B4R3C4
Spis_Protein32,A0A2B4R3D9,HSPA4L,Heat shock 70 kDa protein 4L (Fragment),A0A2B4R3D9,A0A2B4R3D9_STYPI,unreviewed,Heat shock 70 kDa protein 4L (Fragment),HSPA4L AWC38_SpisGene25555,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4R3D9,A0A2B4R3D9
Spis_Protein33,A0A2B4R3P9,rent1,Putative regulator of nonsense transcripts 1,A0A2B4R3P9,A0A2B4R3P9_STYPI,unreviewed,Putative regulator of nonsense transcripts 1,rent1 AWC38_SpisGene24865,Stylophora pistillata (Smooth cauliflower coral),"cytoplasm [GO:0005737]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; zinc ion binding [GO:0008270]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]",GO:0000184; GO:0003677; GO:0004386; GO:0005524; GO:0005737; GO:0008270,A0A2B4R3P9,A0A2B4R3P9
Spis_Protein34,A0A2B4R3S2,Ap2a2,AP-2 complex subunit alpha-2 (Fragment),A0A2B4R3S2,A0A2B4R3S2_STYPI,unreviewed,AP-2 complex subunit alpha-2 (Fragment),Ap2a2 AWC38_SpisGene24829,Stylophora pistillata (Smooth cauliflower coral),clathrin adaptor complex [GO:0030131]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192],GO:0006886; GO:0016192; GO:0030131,A0A2B4R3S2,A0A2B4R3S2
Spis_Protein35,A0A2B4R410,AWC38_SpisGene24697,Transmembrane protease serine 11B-like protein,A0A2B4R410,A0A2B4R410_STYPI,unreviewed,Transmembrane protease serine 11B-like protein,AWC38_SpisGene24697,Stylophora pistillata (Smooth cauliflower coral),integral component of membrane [GO:0016021]; serine-type endopeptidase activity [GO:0004252],GO:0004252; GO:0016021,A0A2B4R410,A0A2B4R410
Spis_Protein36,A0A2B4R434,SACM1L,Phosphatidylinositide phosphatase SAC1,A0A2B4R434,A0A2B4R434_STYPI,unreviewed,Phosphatidylinositide phosphatase SAC1,SACM1L AWC38_SpisGene24666,Stylophora pistillata (Smooth cauliflower coral),integral component of membrane [GO:0016021]; phosphoric ester hydrolase activity [GO:0042578],GO:0016021; GO:0042578,A0A2B4R434,A0A2B4R434
Spis_Protein37,A0A2B4R478,AWC38_SpisGene25036,Uncharacterized protein (Fragment),A0A2B4R478,A0A2B4R478_STYPI,unreviewed,Uncharacterized protein (Fragment),AWC38_SpisGene25036,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4R478,A0A2B4R478
Spis_Protein38,A0A2B4R493,AWC38_SpisGene25368,ILEI domain-containing protein (Fragment),A0A2B4R493,A0A2B4R493_STYPI,unreviewed,ILEI domain-containing protein (Fragment),AWC38_SpisGene25368,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4R493,A0A2B4R493
Spis_Protein39,A0A2B4R4A3,Mrpl46,"39S ribosomal protein L46, mitochondrial (Fragment)",A0A2B4R4A3,A0A2B4R4A3_STYPI,unreviewed,"39S ribosomal protein L46, mitochondrial (Fragment)",Mrpl46 AWC38_SpisGene24569,Stylophora pistillata (Smooth cauliflower coral),mitochondrion [GO:0005739]; ribosome [GO:0005840]; hydrolase activity [GO:0016787]; structural constituent of ribosome [GO:0003735],GO:0003735; GO:0005739; GO:0005840; GO:0016787,A0A2B4R4A3,A0A2B4R4A3
Spis_Protein40,A0A2B4R4C2,dpp3,Dipeptidyl peptidase 3,A0A2B4R4C2,A0A2B4R4C2_STYPI,unreviewed,Dipeptidyl peptidase 3 (EC 3.4.14.4) (Dipeptidyl aminopeptidase III) (Dipeptidyl peptidase III),dpp3 AWC38_SpisGene22756,Stylophora pistillata (Smooth cauliflower coral),cytoplasm [GO:0005737]; dipeptidyl-peptidase activity [GO:0008239]; metal ion binding [GO:0046872]; metalloaminopeptidase activity [GO:0070006],GO:0005737; GO:0008239; GO:0046872; GO:0070006,A0A2B4R4C2,A0A2B4R4C2
Spis_Protein41,A0A2B4R4E1,SEC13,Protein SEC13-like,A0A2B4R4E1,A0A2B4R4E1_STYPI,unreviewed,RNA-directed RNA polymerase (EC 2.7.7.48),SEC13 AWC38_SpisGene22737,Stylophora pistillata (Smooth cauliflower coral),ATP binding [GO:0005524]; DNA binding [GO:0003677]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]; RNA-directed 5'-3' RNA polymerase activity [GO:0003968]; gene silencing by RNA [GO:0031047],GO:0003677; GO:0003723; GO:0003968; GO:0005524; GO:0016787; GO:0031047,A0A2B4R4E1,A0A2B4R4E1
Spis_Protein42,A0A2B4R4E2,Calr,Calreticulin (Fragment),A0A2B4R4E2,A0A2B4R4E2_STYPI,unreviewed,Calreticulin (Fragment),Calr AWC38_SpisGene25279,Stylophora pistillata (Smooth cauliflower coral),endoplasmic reticulum [GO:0005783]; calcium ion binding [GO:0005509]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457],GO:0005509; GO:0005783; GO:0006457; GO:0051082,A0A2B4R4E2,A0A2B4R4E2
Spis_Protein43,A0A2B4R4F0,SEC23A,Protein transport protein Sec23A,A0A2B4R4F0,A0A2B4R4F0_STYPI,unreviewed,Protein transport protein Sec23A,SEC23A AWC38_SpisGene22725,Stylophora pistillata (Smooth cauliflower coral),COPII vesicle coat [GO:0030127]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; zinc ion binding [GO:0008270]; COPII-coated vesicle budding [GO:0090114]; intracellular protein transport [GO:0006886],GO:0000139; GO:0005789; GO:0006886; GO:0008270; GO:0030127; GO:0090114,A0A2B4R4F0,A0A2B4R4F0
Spis_Protein44,A0A2B4R4I5,TNFAIP6,Tumor necrosis factor-inducible gene 6 protein,A0A2B4R4I5,A0A2B4R4I5_STYPI,unreviewed,Tumor necrosis factor-inducible gene 6 protein,TNFAIP6 AWC38_SpisGene24451,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4R4I5,A0A2B4R4I5
Spis_Protein45,A0A2B4R4K8,dnajc10,DnaJ-like subfamily C member 10 (Fragment),A0A2B4R4K8,A0A2B4R4K8_STYPI,unreviewed,DnaJ-like subfamily C member 10 (Fragment),dnajc10 AWC38_SpisGene25285,Stylophora pistillata (Smooth cauliflower coral),cell redox homeostasis [GO:0045454],GO:0045454,A0A2B4R4K8,A0A2B4R4K8
Spis_Protein46,A0A2B4R4K9,Tbck,TBC domain-containing protein kinase-like protein,A0A2B4R4K9,A0A2B4R4K9_STYPI,unreviewed,TBC domain-containing protein kinase-like protein,Tbck AWC38_SpisGene22656,Stylophora pistillata (Smooth cauliflower coral),integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672],GO:0004672; GO:0005524; GO:0016021,A0A2B4R4K9,A0A2B4R4K9
Spis_Protein47,A0A2B4R4L6,AWC38_SpisGene24827,GFP-like fluorescent chromoprotein amFP486 (Fragment),A0A2B4R4L6,A0A2B4R4L6_STYPI,unreviewed,GFP-like fluorescent chromoprotein amFP486 (Fragment),AWC38_SpisGene24827,Stylophora pistillata (Smooth cauliflower coral),bioluminescence [GO:0008218],GO:0008218,A0A2B4R4L6,A0A2B4R4L6
Spis_Protein48,A0A2B4R4L9,ACTIA,Actin-1/2 (Fragment),A0A2B4R4L9,A0A2B4R4L9_STYPI,unreviewed,Actin-1/2 (Fragment),ACTIA AWC38_SpisGene25261,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4R4L9,A0A2B4R4L9
Spis_Protein49,A0A2B4R4N1,clpB,Chaperone protein ClpB (Fragment),A0A2B4R4N1,A0A2B4R4N1_STYPI,unreviewed,Chaperone protein ClpB (Fragment),clpB AWC38_SpisGene25246,Stylophora pistillata (Smooth cauliflower coral),cytoplasm [GO:0005737]; ATP binding [GO:0005524]; protein refolding [GO:0042026]; response to heat [GO:0009408],GO:0005524; GO:0005737; GO:0009408; GO:0042026,A0A2B4R4N1,A0A2B4R4N1
