Orthogroup	Montipora_gene	Pocillopora_gene	Spis_gene
OG0000248	Montipora_capitata_HIv3___RNAseq.g43272.t1		
OG0000477	Montipora_capitata_HIv3___RNAseq.g11643.t1		
OG0000601	Montipora_capitata_HIv3___RNAseq.g37339.t1	Pocillopora_acuta_HIv2___TS.g5801.t1a	
OG0000615		Pocillopora_acuta_HIv2___RNAseq.g30264.t1	
OG0000658			
OG0000701		Pocillopora_acuta_HIv2___TS.g19071.t1	
OG0000860			
OG0000911			
OG0000919	Montipora_capitata_HIv3___RNAseq.g32519.t2	Pocillopora_acuta_HIv2___RNAseq.g19034.t4	Spis8363.t1
OG0000959	Montipora_capitata_HIv3___RNAseq.g10744.t1	Pocillopora_acuta_HIv2___RNAseq.g15792.t1	Spis12087
OG0000985			Spis15796
OG0000987	Montipora_capitata_HIv3___RNAseq.g7362.t1	Pocillopora_acuta_HIv2___RNAseq.g7723.t1	Spis20042
OG0001086			
OG0001154			
OG0001175			
OG0001195	Montipora_capitata_HIv3___TS.g4504.t1	Pocillopora_acuta_HIv2___RNAseq.g2705.t1	Spis20880
OG0001234	Montipora_capitata_HIv3___RNAseq.g80.t1		
OG0001235			
OG0001270	Montipora_capitata_HIv3___TS.g7973.t2	Pocillopora_acuta_HIv2___RNAseq.g9921.t1	Spis3932.t2
OG0001278	Montipora_capitata_HIv3___RNAseq.g46158.t3		
OG0001289	Montipora_capitata_HIv3___RNAseq.g48131.t1	Pocillopora_acuta_HIv2___RNAseq.g4719.t1	Spis12448
OG0001294	Montipora_capitata_HIv3___RNAseq.g37108.t1	Pocillopora_acuta_HIv2___RNAseq.g17560.t1	Spis19878
OG0001297			
OG0001304	Montipora_capitata_HIv3___RNAseq.g49409.t1	Pocillopora_acuta_HIv2___RNAseq.g25935.t1	Spis12423
OG0001308	Montipora_capitata_HIv3___RNAseq.g29364.t1		
OG0001321	Montipora_capitata_HIv3___RNAseq.g45124.t1	Pocillopora_acuta_HIv2___RNAseq.g1102.t1	Spis13278
OG0001332	Montipora_capitata_HIv3___TS.g41017.t3	Pocillopora_acuta_HIv2___RNAseq.g13397.t5	Spis4671.t2
OG0001363	Montipora_capitata_HIv3___RNAseq.g1197.t1	Pocillopora_acuta_HIv2___TS.g1657.t3	Spis6941.t1
OG0001390	Montipora_capitata_HIv3___RNAseq.g16464.t1	Pocillopora_acuta_HIv2___RNAseq.g6548.t2	Spis5788
OG0001391	Montipora_capitata_HIv3___RNAseq.g45319.t1	Pocillopora_acuta_HIv2___TS.g27802.t1b	Spis9822
OG0001395	Montipora_capitata_HIv3___RNAseq.g29616.t3	Pocillopora_acuta_HIv2___TS.g31054.t1	Spis15109.t1
OG0001424			
OG0001426	Montipora_capitata_HIv3___RNAseq.g12091.t1	Pocillopora_acuta_HIv2___RNAseq.g26391.t1	Spis15158
OG0001447		Pocillopora_acuta_HIv2___RNAseq.g254.t1	Spis11170
