gene_id,average_length
SpisGene1,7845.333333333333
SpisGene10,6462
SpisGene100,7573
SpisGene1000,2436
SpisGene10000,9457
SpisGene10001,26320
SpisGene10002,3600
SpisGene10003,3892
SpisGene10004,10571
SpisGene10005,10256
SpisGene10006,7193
SpisGene10007,5052
SpisGene10008,21773
SpisGene10009,5329
SpisGene1001,14238
SpisGene10010,6954
SpisGene10011,11476
SpisGene10012,12649
SpisGene10013,9027.5
SpisGene10014,4956
SpisGene10015,3224
SpisGene10016,4985
SpisGene10017,11996
SpisGene10018,3872
SpisGene10019,1739
SpisGene1002,17928
SpisGene10020,9424
SpisGene10021,10443
SpisGene10022,6399
SpisGene10023,4347
SpisGene10024,3726
SpisGene10025,5377
SpisGene10026,5182
SpisGene10027,2988
SpisGene10028,70239
SpisGene10029,996
SpisGene1003,3066
SpisGene10030,929
SpisGene10031,1909
SpisGene10032,8385
SpisGene10033,755
SpisGene10034,1379
SpisGene10035,2017
SpisGene10036,3118
SpisGene10037,1236
SpisGene10038,1156
SpisGene10039,1144
SpisGene1004,5972
SpisGene10040,3362
SpisGene10041,5685
SpisGene10042,18728.5
SpisGene10043,2802
SpisGene10044,11458
SpisGene10045,3745
SpisGene10046,2233
SpisGene10047,10362
SpisGene10048,12308
SpisGene10049,960
SpisGene1005,2897
SpisGene10050,10872
SpisGene10051,4538
SpisGene10052,10541
SpisGene10053,9967
SpisGene10054,7847
SpisGene10055,4792
SpisGene10056,5261
SpisGene10057,3092
SpisGene10058,2646
SpisGene10059,9886
SpisGene1006,15835
SpisGene10060,5226
SpisGene10061,29284
SpisGene10062,2391
SpisGene10063,2867
SpisGene10064,5057
SpisGene10065,6017
SpisGene10066,4893
SpisGene10067,15843
SpisGene10068,9533
SpisGene10069,12598
SpisGene1007,6447
SpisGene10070,16626
SpisGene10071,2241
SpisGene10072,1314
SpisGene10073,4982
SpisGene10074,2436
SpisGene10075,1370
SpisGene10076,1168
SpisGene10077,7119
SpisGene10078,12813
SpisGene10079,3041
SpisGene1008,10786
SpisGene10080,2100
SpisGene10081,25165
SpisGene10082,3495
SpisGene10083,11159
SpisGene10084,2239
SpisGene10085,2205
SpisGene10086,2587
SpisGene10087,12896
SpisGene10088,4253
SpisGene10089,5367
SpisGene1009,7049
SpisGene10090,5704
SpisGene10091,2937
SpisGene10092,2273
SpisGene10093,9259
SpisGene10094,7102
SpisGene10095,5776
SpisGene10096,5764.5
SpisGene10097,12972
SpisGene10098,5071
SpisGene10099,4504
SpisGene101,4292
SpisGene1010,1613
SpisGene10100,5710
SpisGene10101,4849
SpisGene10102,8101
SpisGene10103,24726
SpisGene10104,2893
SpisGene10105,10560
SpisGene10106,28670
SpisGene10107,1403
SpisGene10108,53869
SpisGene10109,1752
SpisGene1011,1946
SpisGene10110,2265
SpisGene10111,4480
SpisGene10112,5288.5
SpisGene10113,3523
SpisGene10114,1389
SpisGene10115,1674
SpisGene10116,15738
SpisGene10117,40562
SpisGene10118,17435
SpisGene1012,4203.5
SpisGene10120,1406
SpisGene10121,10652
SpisGene10122,16029
SpisGene10123,16695
SpisGene10124,5225
SpisGene10125,5689
SpisGene10126,5364
SpisGene10127,3285
SpisGene10128,1387
SpisGene10129,3542
SpisGene1013,5248
SpisGene10130,7203
SpisGene10131,2846
SpisGene10132,988
SpisGene10133,374
SpisGene10134,2197
SpisGene10135,4302
SpisGene10136,85218
SpisGene10137,2581
SpisGene10138,3954
SpisGene10139,11237
SpisGene1014,6549
SpisGene10140,16545
SpisGene10141,9810
SpisGene10142,5134
SpisGene10143,1048
SpisGene10144,2401
SpisGene10145,8747
SpisGene10146,1644
SpisGene10147,3648
SpisGene10148,1035
SpisGene10149,3489
SpisGene1015,1876
SpisGene10150,3575
SpisGene10151,14106
SpisGene10152,3867
SpisGene10153,6733
SpisGene10154,1623
SpisGene10155,41935
SpisGene10156,2805
SpisGene10157,5400
SpisGene10158,1614
SpisGene10159,7234
SpisGene1016,6323
SpisGene10160,16130
SpisGene10161,1214
SpisGene10162,3302
SpisGene10163,13474
SpisGene10164,8349
SpisGene10165,1945
SpisGene10166,2022
SpisGene10167,3705
SpisGene10168,15337
SpisGene10169,25311
SpisGene1017,4488
SpisGene10170,5971
SpisGene10171,4390
SpisGene10172,3591
SpisGene10173,16316
SpisGene10174,5800
SpisGene10175,3288
SpisGene10176,4476
SpisGene10177,7984
SpisGene10178,4096
SpisGene10179,3135
SpisGene1018,5003
SpisGene10180,14297
SpisGene10181,11634
SpisGene10183,2051
SpisGene10184,16519
SpisGene10185,12062
SpisGene10186,11777.5
SpisGene10187,1551
SpisGene10188,14684
SpisGene10189,3191
SpisGene1019,2124
SpisGene10190,5415
SpisGene10191,1400
SpisGene10192,4505
SpisGene10193,3797
SpisGene10194,2595
SpisGene10195,4225
SpisGene10196,11781
SpisGene10197,13652
SpisGene10198,4860
SpisGene10199,19843
SpisGene102,5754
SpisGene1020,7364
SpisGene10200,9091
SpisGene10201,800
SpisGene10202,3139
SpisGene10203,1295
SpisGene10204,28683
SpisGene10205,10243
SpisGene10206,5056
SpisGene10207,1840
SpisGene10208,2710
SpisGene10209,8444
SpisGene1021,9767
SpisGene10210,12589
SpisGene10211,657
SpisGene10212,6579
SpisGene10213,1529
SpisGene10214,15316
SpisGene10215,21115
SpisGene10216,2455
SpisGene10217,11924
SpisGene10218,22337
SpisGene10219,17344
SpisGene1022,4105
SpisGene10220,2012
SpisGene10221,17384
SpisGene10222,20924
SpisGene10223,26332
SpisGene10224,14088
SpisGene10225,2317
SpisGene10226,3128
SpisGene10227,3771
SpisGene10228,5864
SpisGene10229,11641
SpisGene1023,1149
SpisGene10230,1603
SpisGene10231,286
SpisGene10232,15249
SpisGene10233,8511
SpisGene10234,17640
SpisGene10235,2347
SpisGene10236,1730
SpisGene10237,18263
SpisGene10238,3446
SpisGene10239,5654
SpisGene1024,5316
SpisGene10240,2953
SpisGene10241,5225
SpisGene10242,11090
SpisGene10243,10534
SpisGene10244,8358
SpisGene10245,25512
SpisGene10246,6148
SpisGene10247,29807.333333333332
SpisGene10248,21531
SpisGene10249,2376
SpisGene1025,19753
SpisGene10250,12138
SpisGene10251,18969
SpisGene10252,3973
SpisGene10253,8079
SpisGene10254,4141
SpisGene10255,42224
SpisGene10256,11205
SpisGene10257,1915
SpisGene10258,3341
SpisGene10259,5031
SpisGene1026,3385
SpisGene10260,12348
SpisGene10261,3556
SpisGene10262,666
SpisGene10263,15658
SpisGene10264,10909
SpisGene10265,7740
SpisGene10266,10897
SpisGene10267,17164
SpisGene10268,46314
SpisGene10269,2373
SpisGene1027,1359
SpisGene10270,11160
SpisGene10271,3217
SpisGene10272,6928
SpisGene10273,10830
SpisGene10274,11083
SpisGene10275,7049
SpisGene10276,5062
SpisGene10277,3015
SpisGene10278,16506
SpisGene10279,38381
SpisGene1028,16466
SpisGene10280,4338
SpisGene10281,6190
SpisGene10282,1505
SpisGene10283,691
SpisGene10284,7216
SpisGene10285,1856
SpisGene10286,1838
SpisGene10287,2629
SpisGene10288,8609
SpisGene10289,3717
SpisGene1029,1477
SpisGene10290,8508
SpisGene10291,1621
SpisGene10292,10340
SpisGene10293,22895
SpisGene10294,972
SpisGene10295,3896
SpisGene10296,1476
SpisGene10297,11414
SpisGene10298,869
SpisGene10299,5440
SpisGene103,10156
SpisGene1030,4249
SpisGene10300,2865
SpisGene10301,14326
SpisGene10302,893
SpisGene10303,799
SpisGene10304,3492
SpisGene10305,2951
SpisGene10306,1204
SpisGene10307,1213
SpisGene10308,1723
SpisGene10309,4361
SpisGene1031,1763
SpisGene10310,846
SpisGene10311,2117
SpisGene10312,1883
SpisGene10313,3142
SpisGene10314,4529
SpisGene10315,705
SpisGene10316,688
SpisGene10317,836
SpisGene10318,17945
SpisGene10319,3519
SpisGene1032,6308
SpisGene10320,914
SpisGene10321,868
SpisGene10322,15877
SpisGene10323,2426
SpisGene10324,2544
SpisGene10325,3394
SpisGene10326,24586
SpisGene10327,1933
SpisGene10328,11087
SpisGene10329,1907
SpisGene1033,7766
SpisGene10330,3292
SpisGene10331,2154
SpisGene10332,5716
SpisGene10333,62820
SpisGene10334,2184
SpisGene10335,51988
SpisGene10336,10896
SpisGene10337,16717
SpisGene10338,31912
SpisGene10339,3764
SpisGene1034,835
SpisGene10340,6648
SpisGene10341,14624
SpisGene10342,22452
SpisGene10343,11481
SpisGene10344,3395
SpisGene10345,13917
SpisGene10346,8980
SpisGene10347,19873.666666666668
SpisGene10348,41670
SpisGene10349,1815
SpisGene1035,1739
SpisGene10350,3049
SpisGene10351,3960
SpisGene10352,1660
SpisGene10353,4659
SpisGene10354,3978
SpisGene10355,5728
SpisGene10356,2008
SpisGene10357,2412
SpisGene10358,5791
SpisGene10359,4044
SpisGene1036,15828
SpisGene10360,27478
SpisGene10361,6573
SpisGene10362,4895
SpisGene10363,5415
SpisGene10364,4360
SpisGene10365,19686
SpisGene10366,9104
SpisGene10367,13611
SpisGene10368,739
SpisGene10369,1173
SpisGene1037,587
SpisGene10370,12881
SpisGene10371,2348.5
SpisGene10372,2366
SpisGene10373,4766
SpisGene10374,3719
SpisGene10375,3142
SpisGene10376,2678
SpisGene10377,2905
SpisGene10378,4653
SpisGene10379,1469
SpisGene1038,9042
SpisGene10380,29408
SpisGene10381,8552
SpisGene10382,2273
SpisGene10383,7917
SpisGene10384,2761
SpisGene10385,5271
SpisGene10386,1110
SpisGene10387,26418
SpisGene10388,5338
SpisGene10389,9924
SpisGene1039,25985
SpisGene10390,17780
SpisGene10391,4020
SpisGene10392,9445
SpisGene10393,3494
SpisGene10394,5145
SpisGene10395,6924
SpisGene10396,6159
SpisGene10397,6446
SpisGene10398,5011
SpisGene10399,8048
SpisGene104,5468
SpisGene1040,9108
SpisGene10400,11002
SpisGene10401,1157
SpisGene10402,4239
SpisGene10403,5874
SpisGene10404,32970
SpisGene10405,873
SpisGene10406,1858
SpisGene10407,12180
SpisGene10408,9214
SpisGene10409,15906
SpisGene1041,8083
SpisGene10410,10650
SpisGene10411,6269
SpisGene10412,6854
SpisGene10413,5712
SpisGene10414,24758
SpisGene10415,5421
SpisGene10416,8782
SpisGene10417,11053
SpisGene10418,9392
SpisGene10419,7155
SpisGene1042,878
SpisGene10420,2088
SpisGene10421,7433
SpisGene10422,7931
SpisGene10423,12062
SpisGene10424,3809
SpisGene10425,1297
SpisGene10426,3291
SpisGene10427,2339
SpisGene10428,4687
SpisGene10429,2381
SpisGene1043,3321
SpisGene10430,7492
SpisGene10431,2635
SpisGene10432,9646
SpisGene10433,3904
SpisGene10434,926
SpisGene10435,4411
SpisGene10436,3703
SpisGene10437,11031
SpisGene10438,1800
SpisGene10439,5697
SpisGene1044,3308
SpisGene10440,4673
SpisGene10441,1821
SpisGene10442,7869
SpisGene10443,2734
SpisGene10444,10107
SpisGene10445,2051.5
SpisGene10446,5570
SpisGene10447,6438
SpisGene10448,2435
SpisGene10449,14835
SpisGene1045,4216
SpisGene10450,15139
SpisGene10451,1750
SpisGene10452,7906
SpisGene10453,16216
SpisGene10454,4172
SpisGene10455,6950
SpisGene10456,708
SpisGene10457,15048
SpisGene10458,1249
SpisGene10459,3240
SpisGene1046,1684
SpisGene10460,3262
SpisGene10461,1406
SpisGene10462,3827
SpisGene10463,2304
SpisGene10464,19925
SpisGene10465,10382
SpisGene10466,2612
SpisGene10467,8596
SpisGene10468,3163
SpisGene10469,3768
SpisGene1047,10696
SpisGene10470,3858
SpisGene10471,3637
SpisGene10472,4489
SpisGene10473,4180
SpisGene10474,9703
SpisGene10475,5003
SpisGene10476,1268
SpisGene10477,13535
SpisGene10478,1205
SpisGene10479,13520
SpisGene1048,24650
SpisGene10480,1834
SpisGene10481,4480
SpisGene10482,1134
SpisGene10483,20949
SpisGene10484,12351
SpisGene10485,5433
SpisGene10486,2612
SpisGene10487,2261
SpisGene10488,2944
SpisGene10489,2879
SpisGene1049,11609
SpisGene10490,4217
SpisGene10491,2375
SpisGene10492,2421
SpisGene10493,9467
SpisGene10494,2162
SpisGene10495,5469
SpisGene10496,6907
SpisGene10497,2383
SpisGene10498,4893.5
SpisGene10499,10935
SpisGene105,3841
SpisGene1050,440
SpisGene10500,8327
SpisGene10501,807
SpisGene10502,9184.666666666666
SpisGene10503,7661
SpisGene10504,5628
SpisGene10505,6472
SpisGene10506,6364
SpisGene10507,2632.5
SpisGene10508,4127
SpisGene10509,3389
SpisGene1051,75401
SpisGene10510,6225
SpisGene10511,17115
SpisGene10512,1877
SpisGene10513,11978
SpisGene10514,3043
SpisGene10515,3925
SpisGene10516,1518
SpisGene10517,22789
SpisGene10518,7303
SpisGene10519,3503
SpisGene1052,5192
SpisGene10520,1396
SpisGene10521,4916
SpisGene10522,967
SpisGene10523,5516
SpisGene10524,815
SpisGene10525,3262
SpisGene10526,3526
SpisGene10527,4923
SpisGene10528,4950
SpisGene10529,4917
SpisGene1053,11434.75
SpisGene10530,3571
SpisGene10531,6599
SpisGene10532,14638
SpisGene10533,9952
SpisGene10534,5003
SpisGene10535,14517
SpisGene10536,11127
SpisGene10537,7520
SpisGene10538,2420
SpisGene10539,1031
SpisGene1054,1459
SpisGene10540,20962
SpisGene10541,33354
SpisGene10542,12235
SpisGene10543,2447
SpisGene10544,1151
SpisGene10545,2277
SpisGene10546,1921
SpisGene10547,2159
SpisGene10548,2260
SpisGene10549,15328
SpisGene1055,25116
SpisGene10550,11022
SpisGene10551,10834
SpisGene10552,4930
SpisGene10553,5121
SpisGene10554,3184
SpisGene10555,19264
SpisGene10556,3269
SpisGene10557,3338
SpisGene10558,12625
SpisGene10559,3096
SpisGene1056,1390
SpisGene10560,3229
SpisGene10561,3036
SpisGene10562,6796
SpisGene10563,4289
SpisGene10564,12641.5
SpisGene10565,4015
SpisGene10566,3834
SpisGene10567,5133
SpisGene10568,6913
SpisGene10569,5230
SpisGene1057,12887
SpisGene10570,4481
SpisGene10571,4127
SpisGene10572,4518
SpisGene10573,3718
SpisGene10574,2234
SpisGene10575,7575
SpisGene10576,16892
SpisGene10577,2038
SpisGene10578,24421
SpisGene10579,1843
SpisGene1058,1157
SpisGene10580,4094
SpisGene10581,12722.5
SpisGene10582,2339
SpisGene10583,4749
SpisGene10584,4169
SpisGene10585,7568
SpisGene10586,4118
SpisGene10587,1611
SpisGene10588,8595
SpisGene10589,2369
SpisGene1059,5662
SpisGene10590,4025
SpisGene10591,9043
SpisGene10592,5236
SpisGene10593,922
SpisGene10594,1645
SpisGene10595,5417
SpisGene10596,8989
SpisGene10597,10806
SpisGene10598,7016
SpisGene10599,20460
SpisGene106,6109
SpisGene1060,11883
SpisGene10600,18249
SpisGene10601,7036
SpisGene10602,16046
SpisGene10603,17134
SpisGene10604,4449
SpisGene10605,2193
SpisGene10606,1270
SpisGene10607,16320.5
SpisGene10608,9133
SpisGene10609,4942
SpisGene10610,6138
SpisGene10611,4619
SpisGene10612,18033
SpisGene10613,7692
SpisGene10614,24370
SpisGene10615,22154
SpisGene10616,1824
SpisGene10617,4882
SpisGene10618,1145
SpisGene10619,3719
SpisGene1062,1350
SpisGene10620,1429
SpisGene10621,9698
SpisGene10622,11203
SpisGene10623,1371
SpisGene10624,3314
SpisGene10625,866
SpisGene10626,3010
SpisGene10627,11210
SpisGene10628,2564
SpisGene10629,5579
SpisGene1063,10924
SpisGene10630,2012
SpisGene10631,6699
SpisGene10632,8368
SpisGene10633,1969
SpisGene10634,5109
SpisGene10635,3974
SpisGene10636,912
SpisGene10637,5680
SpisGene10638,448
SpisGene10639,1620
SpisGene1064,3452
SpisGene10640,16969
SpisGene10641,1119
SpisGene10642,3796
SpisGene10643,1555
SpisGene10644,14797
SpisGene10645,1644
SpisGene10646,17017
SpisGene10647,6950
SpisGene10648,10227
SpisGene10649,8955
SpisGene1065,2792
SpisGene10650,6154
SpisGene10651,9835
SpisGene10652,10378
SpisGene10653,943
SpisGene10654,2680
SpisGene10655,21912
SpisGene10656,8065
SpisGene10657,8675
SpisGene10658,21980
SpisGene10659,17367
SpisGene1066,1968
SpisGene10660,12029
SpisGene10661,6807
SpisGene10662,3789
SpisGene10663,1903
SpisGene10664,3359
SpisGene10665,2213
SpisGene10666,13003
SpisGene10667,8096
SpisGene10668,2883
SpisGene10669,18846
SpisGene1067,3708
SpisGene10670,3486
SpisGene10671,48692
SpisGene10672,7077
SpisGene10673,30802
SpisGene10674,18391
SpisGene10675,6863
SpisGene10676,1794
SpisGene10677,1446
SpisGene10678,15414
SpisGene10679,2465
SpisGene1068,12900
SpisGene10680,6641
SpisGene10681,23754
SpisGene10682,4601
SpisGene10683,2362
SpisGene10684,5794
SpisGene10685,11461
SpisGene10686,38522
SpisGene10687,3604
SpisGene10688,9807.333333333334
SpisGene10689,1296
SpisGene1069,4503
SpisGene10690,9321
SpisGene10691,32026
SpisGene10692,9106
SpisGene10693,1805
SpisGene10694,2961
SpisGene10695,4447
SpisGene10696,10126.5
SpisGene10697,1564
SpisGene10698,1780
SpisGene10699,11206
SpisGene107,606
SpisGene1070,5662
SpisGene10700,2473
SpisGene10701,3484
SpisGene10702,3218
SpisGene10703,1049
SpisGene10704,4050
SpisGene10705,7204
SpisGene10706,15593
SpisGene10707,18839
SpisGene10708,2983
SpisGene10709,7352
SpisGene1071,17983
SpisGene10710,16800
SpisGene10711,18589.666666666668
SpisGene10712,2517
SpisGene10713,12672
SpisGene10714,8048
SpisGene10715,4914
SpisGene10716,5215
SpisGene10717,6296
SpisGene10718,5654
SpisGene10719,11426
SpisGene1072,2853
SpisGene10720,4717
SpisGene10721,4079
SpisGene10722,11624
SpisGene10723,15561
SpisGene10724,53742
SpisGene10725,1957
SpisGene10726,12577
SpisGene10727,4892
SpisGene10728,16162
SpisGene10729,6314
SpisGene1073,4401
SpisGene10730,3200
SpisGene10731,6257
SpisGene10732,43967
SpisGene10733,6493
SpisGene10734,11808
SpisGene10735,7310
SpisGene10736,7524
SpisGene10737,18090
SpisGene10738,41437
SpisGene10739,3787
SpisGene1074,7748
SpisGene10740,5271
SpisGene10741,8824
SpisGene10742,631
SpisGene10743,1111
SpisGene10744,1105
SpisGene10745,12074
SpisGene10746,4907
SpisGene10747,13704
SpisGene10748,3946
SpisGene10749,16747
SpisGene1075,4552
SpisGene10750,1533
SpisGene10751,1801
SpisGene10752,5964
SpisGene10753,3293
SpisGene10754,22527
SpisGene10755,38799
SpisGene10756,4596
SpisGene10757,5101
SpisGene10758,2687
SpisGene10759,53288
SpisGene1076,2137
SpisGene10760,3850
SpisGene10761,1567
SpisGene10762,14019
SpisGene10763,4598
SpisGene10764,8414
SpisGene10765,3850
SpisGene10766,10755
SpisGene10767,13299
SpisGene10768,20047
SpisGene10769,8718
SpisGene1077,15115
SpisGene10770,15087
SpisGene10771,27608
SpisGene10772,5274
SpisGene10773,3388
SpisGene10774,4146
SpisGene10775,2102
SpisGene10776,5985
SpisGene10777,2594
SpisGene10778,11325
SpisGene10779,9603
SpisGene1078,7120
SpisGene10780,2934
SpisGene10781,20741
SpisGene10782,6236
SpisGene10783,8391
SpisGene10784,13641
SpisGene10785,1946
SpisGene10786,10028
SpisGene10787,1476
SpisGene10788,4371
SpisGene10789,5382
SpisGene1079,4554
SpisGene10790,6522
SpisGene10791,23986
SpisGene10792,1471
SpisGene10793,1837
SpisGene10794,3513
SpisGene10795,1407
SpisGene10796,4947
SpisGene10797,7105
SpisGene10798,3017
SpisGene10799,9543
SpisGene108,4246
SpisGene1080,6877
SpisGene10800,11819
SpisGene10801,829
SpisGene10802,3002
SpisGene10803,8136
SpisGene10804,11948
SpisGene10805,5460
SpisGene10806,2965
SpisGene10807,13867
SpisGene10808,10932
SpisGene10809,3137
SpisGene1081,15307.666666666666
SpisGene10810,11556.666666666666
SpisGene10811,6155
SpisGene10812,13208
SpisGene10813,3548
SpisGene10814,16695
SpisGene10815,1987
SpisGene10816,13784
SpisGene10817,1829
SpisGene10818,7935
SpisGene10819,35653
SpisGene1082,4430
SpisGene10820,19263
SpisGene10821,5064
SpisGene10822,21632
SpisGene10823,21959
SpisGene10824,3130
SpisGene10825,8821
SpisGene10826,10119
SpisGene10827,13952
SpisGene10828,7046
SpisGene10829,3426
SpisGene1083,5768
SpisGene10830,13137
SpisGene10831,18005
SpisGene10832,4711
SpisGene10833,5350
SpisGene10834,20038
SpisGene10835,6521
SpisGene10836,3062
SpisGene10837,873
SpisGene10838,4445
SpisGene10839,10277
SpisGene1084,10273
SpisGene10840,5828
SpisGene10841,7488
SpisGene10842,10322
SpisGene10843,1329
SpisGene10844,6306
SpisGene10845,6141
SpisGene10846,13410
SpisGene10847,896
SpisGene10848,2062
SpisGene10849,4128
SpisGene1085,8316
SpisGene10850,10177
SpisGene10851,7713
SpisGene10852,4079
SpisGene10853,5117
SpisGene10854,2286
SpisGene10855,15802
SpisGene10856,18697
SpisGene10857,44080
SpisGene10858,7914
SpisGene10859,1225
SpisGene1086,11057.333333333334
SpisGene10860,4170
SpisGene10861,6707
SpisGene10862,10473
SpisGene10863,8564
SpisGene10864,20894
SpisGene10866,13828.5
SpisGene10867,18074
SpisGene10868,16000
SpisGene10869,8460
SpisGene1087,6705
SpisGene10870,2696
SpisGene10871,5082
SpisGene10872,2615
SpisGene10873,2195
SpisGene10874,2570
SpisGene10875,1181
SpisGene10876,2528
SpisGene10877,20379
SpisGene10878,16784
SpisGene10879,8915
SpisGene1088,2089
SpisGene10880,4750
SpisGene10881,12125
SpisGene10882,1983
SpisGene10883,2576
SpisGene10884,1980
SpisGene10885,5960
SpisGene10886,5879
SpisGene10887,9565
SpisGene10888,3416
SpisGene10889,2941
SpisGene1089,7701
SpisGene10890,2255
SpisGene10891,3320
SpisGene10892,567
SpisGene10893,5589
SpisGene10894,1634
SpisGene10895,9838
SpisGene10896,1492
SpisGene10897,21304
SpisGene10898,1570
SpisGene10899,5749
SpisGene109,12476
SpisGene1090,4774
SpisGene10900,3177
SpisGene10901,7974
SpisGene10902,12248
SpisGene10903,11311
SpisGene10904,11880
SpisGene10905,11112
SpisGene10906,4637
SpisGene10907,7387
SpisGene10908,14987
SpisGene10909,4353
SpisGene1091,6117
SpisGene10910,10472
SpisGene10911,5456
SpisGene10912,12963
SpisGene10913,11064
SpisGene10914,6804
SpisGene10915,7332
SpisGene10916,1921
SpisGene10917,2027
SpisGene10918,9150
SpisGene10919,16069
